FROM,TO,TRIPS
Downtown,Port of Tampa  50th St Corridor,3566.96858799458
Downtown,SE Hillsborough,7218.68321024202
Downtown,SW Hillsborough,26594.7198457543
Downtown,TPA  Anderson Rd,2803.81113913166
Downtown,Tampa Central,45624.3568459086
Downtown,USF  Hosp  Busch,2146.35063669458
Downtown,West Brandon,3180.95175362026
Downtown,Westshore  Rocky Point,7873.67764144857
East Town,Apollo Beach  Ruskin,565.495905011892
East Town,CZ2,1229.63711321354
East Town,CZ4,2227.04201111154
East Town,Citrus Park,36.7635577917099
East Town,Downtown,4886.8524902803
East Town,East Town,33267.4417850971
East Town,External,5200.22347196378
East Town,Gibsonton,2909.71540564299
East Town,Harney Canal,3789.28839820623
East Town,Hernando  Citrus,439.24535161315
East Town,MacDill AFB,82.9191520512104
East Town,Manatee Spur,59.895498752594
East Town,NE Hilsborough,20262.15280866
East Town,NW Hilsborough,4118.43911017755
East Town,New Tampa,412.802796691423
East Town,Pasco,3483.33073794708
East Town,Pinellas,3703.85378836149
East Town,Plant City Area,350.55009585619
East Town,Port of Tampa  50th St Corridor,2351.94557485916
East Town,SE Hillsborough,15089.1738324417
East Town,SW Hillsborough,1882.89551278675
East Town,TPA  Anderson Rd,1168.3297440545
East Town,Tampa Central,22238.8465701183
East Town,USF  Hosp  Busch,1011.26785135274
East Town,West Brandon,10494.933404144
East Town,Westshore  Rocky Point,1136.61946417778
External,Apollo Beach  Ruskin,1706.90956533141
External,CZ2,2267.47250295058
External,CZ4,8525.31343885791
External,Citrus Park,101.527366163209
External,Downtown,5324.89816714812
External,East Town,5200.22347196378
External,External,0
External,Gibsonton,3639.18252679519
External,Harney Canal,2563.40352258086
External,Hernando  Citrus,0
External,MacDill AFB,458.016930259764
External,Manatee Spur,0
External,NE Hilsborough,27510.692923083
External,NW Hilsborough,7513.44972937647
External,New Tampa,627.126112956554
External,Pasco,0
External,Pinellas,0
External,Plant City Area,7596.27512060478
External,Port of Tampa  50th St Corridor,1033.92817195877
External,SE Hillsborough,14214.4005542058
External,SW Hillsborough,3434.1521321577
External,TPA  Anderson Rd,3713.37389721163
External,Tampa Central,16324.7309047513
External,USF  Hosp  Busch,4389.83303990588
External,West Brandon,4559.09144890122
External,Westshore  Rocky Point,3788.03574083839
Gibsonton,Apollo Beach  Ruskin,2759.12904083729
Gibsonton,CZ2,11984.7914775908
Gibsonton,CZ4,16090.0826877356
Gibsonton,Citrus Park,18.9203750491142
Gibsonton,Downtown,1713.03129443416
Gibsonton,East Town,2909.7154020071
Gibsonton,External,3639.18252679519
Gibsonton,Gibsonton,52375.5103125572
Gibsonton,Harney Canal,1068.85386025906
Gibsonton,Hernando  Citrus,107.796824924648
Gibsonton,MacDill AFB,299.989379882813
Gibsonton,Manatee Spur,146.145151667297
Gibsonton,NE Hilsborough,3457.49342451833
Gibsonton,NW Hilsborough,807.77052888184
Gibsonton,New Tampa,265.365886807442
Gibsonton,Pasco,850.547461813898
Gibsonton,Pinellas,1438.9634177275
Gibsonton,Plant City Area,134.124672681093
Gibsonton,Port of Tampa  50th St Corridor,685.006037712097
Gibsonton,SE Hillsborough,12620.8691290468
Gibsonton,SW Hillsborough,896.990041447833
Gibsonton,TPA  Anderson Rd,405.471715202322
Gibsonton,Tampa Central,4209.66599274692
Gibsonton,USF  Hosp  Busch,1283.03314929309
Gibsonton,West Brandon,4014.99153885245
Gibsonton,Westshore  Rocky Point,469.633175900963
Harney Canal,Apollo Beach  Ruskin,302.176922261715
Harney Canal,CZ2,343.7263007164
Harney Canal,CZ4,699.013035247161
Harney Canal,Citrus Park,41.266712218523
Harney Canal,Downtown,2389.72051161528
Harney Canal,East Town,3789.28837382793
Harney Canal,External,2563.40352258086
Harney Canal,Gibsonton,1068.85385447741
Harney Canal,Harney Canal,14290.7303644419
Harney Canal,Hernando  Citrus,160.896145284176
Harney Canal,MacDill AFB,13.1165526807308
Harney Canal,Manatee Spur,56.2965466380119
Harney Canal,NE Hilsborough,6938.87065218473
Harney Canal,NW Hilsborough,1586.63636168337
Harney Canal,New Tampa,755.522132605314
Harney Canal,Pasco,2105.71499135904
Harney Canal,Pinellas,1621.1806026494
Harney Canal,Plant City Area,164.377997860312
Harney Canal,Port of Tampa  50th St Corridor,396.704747587442
Harney Canal,SE Hillsborough,3751.70910215698
Harney Canal,SW Hillsborough,746.101214125753
