FROM,TO,TRIPS
Plant City,Clearwater,124.11
Plant City,External,19230.9
Plant City,Hernando Other,128.72
Plant City,Hillsborough Other,44405.66
Plant City,Manatee Spur,59.93
Plant City,New Port Richey,9.05
Plant City,Pasco Other,1656.78
Plant City,Pinellas Beaches,161.9
Plant City,Pinellas Other,562.16
Plant City,Plant City,118595.94
Plant City,Spring Hill,112.07
Plant City,St Petersburg,447.65
Plant City,Tampa,4111.26
Plant City,USF  Hosp  Busch,289.9
Spring Hill,Citrus,1860.36
Spring Hill,Clearwater,319.25
Spring Hill,External,2178.16
Spring Hill,Hernando Other,47378.42
Spring Hill,Hillsborough Other,3829.9
Spring Hill,Manatee Spur,4.83
Spring Hill,New Port Richey,911.58
Spring Hill,Pasco Other,24060.65
Spring Hill,Pinellas Beaches,151.73
Spring Hill,Pinellas Other,1558.26
Spring Hill,Plant City,112.07
Spring Hill,Spring Hill,139748.05
Spring Hill,St Petersburg,375.42
Spring Hill,Tampa,2739.98
Spring Hill,USF  Hosp  Busch,480.63
St Petersburg,Citrus,80.54
St Petersburg,Clearwater,12892.5
St Petersburg,External,12494.13
St Petersburg,Hernando Other,222.11
St Petersburg,Hillsborough Other,20508.79
St Petersburg,Manatee Spur,1204.31
St Petersburg,New Port Richey,328.87
St Petersburg,Pasco Other,6387.78
St Petersburg,Pinellas Beaches,17662.46
St Petersburg,Pinellas Other,180850.2
St Petersburg,Plant City,447.65
St Petersburg,Spring Hill,375.42
St Petersburg,St Petersburg,643142.39
St Petersburg,Tampa,25955.95
St Petersburg,USF  Hosp  Busch,1237.84
Tampa,Citrus,180.58
Tampa,Clearwater,7790
Tampa,External,28232.24
Tampa,Hernando Other,1723.49
Tampa,Hillsborough Other,352181.51
Tampa,Manatee Spur,481.56
Tampa,New Port Richey,515.56
Tampa,Pasco Other,44898.94
Tampa,Pinellas Beaches,3971.51
Tampa,Pinellas Other,27504.86
Tampa,Plant City,4111.26
Tampa,Spring Hill,2739.98
Tampa,St Petersburg,25955.95
Tampa,Tampa,1150772.8
Tampa,USF  Hosp  Busch,31416.83
USF  Hosp  Busch,Citrus,30.67
