FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Pasco East,New Port Richey,439.491733342409,12.1242028474808
Suncoast  SR 54,New Port Richey,357.11383588153,6.41582995653153
I-75  SR 52,New Port Richey,64.5849127657712,2.67401552200317
Wesley Chapel  I-75 - SR56,New Port Richey,197.934102279134,8.10934036970139
Dade City,New Port Richey,122.432320982218,1.33553171157837
Zephyrhills,New Port Richey,58.3033659160137,1.79183399677277
Hernando,New Port Richey,3617.68841864663,64.3103549480438
Citrus,New Port Richey,214.997460663319,13.5652896761894
External,New Port Richey,706.236549774054,516.06671946212
San Antonio,New Port Richey,40.9565135836601,6.87478244304657
Lacoochie Ind Area,New Port Richey,2.72945785522461,0
Hillsborough  Manatee Spur,E New Port Richey,414.915441226447,14.0161589384079
Pinellas,E New Port Richey,635.836055498221,21.9356122612953
NW Pasco,E New Port Richey,65.4018453061581,1.08858191967011
Pasco West,E New Port Richey,3561.84571029246,78.9361572265625
Hudson,E New Port Richey,333.615830540657,8.52059125900269
New Port Richey,E New Port Richey,2710.51293849945,74.5536227226257
E New Port Richey,E New Port Richey,1265.51268005371,18.5418663024902
Seven Springs  Odessa,E New Port Richey,486.57527577877,25.7597745656967
Pasco Central,E New Port Richey,3049.72165374458,67.3090136051178
Land O Lakes  Connerton,E New Port Richey,68.2520514726639,4.70795011520386
Pasco East,E New Port Richey,101.564598381519,0
San Antonio,E New Port Richey,23.7291462421417,0
Suncoast  SR 54,E New Port Richey,36.3832455575466,2.59721410274506
Wesley Chapel  I-75 - SR56,E New Port Richey,17.4551064670086,0
Zephyrhills,E New Port Richey,13.2417739927769,0
Dade City,E New Port Richey,33.3232028335333,0
Hernando,E New Port Richey,533.146403412102,4.1582402586937
Citrus,E New Port Richey,16.4337805211544,0
External,E New Port Richey,35.0777540730778,23.4583856217796
Hillsborough  Manatee Spur,Seven Springs  Odessa,7583.36978406414,347.031793043017
Pinellas,Seven Springs  Odessa,10620.2593536367,337.432790219784
NW Pasco,Seven Springs  Odessa,142.774252414703,3.99978828430176
Pasco West,Seven Springs  Odessa,16515.0927584596,549.237849116325
Hudson,Seven Springs  Odessa,267.418712705374,5.29761552810669
New Port Richey,Seven Springs  Odessa,6771.53333372436,210.547599434853
E New Port Richey,Seven Springs  Odessa,493.9831148386,18.3519434928894
Seven Springs  Odessa,Seven Springs  Odessa,29506.9786965251,1018.44011867046
Pasco Central,Seven Springs  Odessa,4669.79591529444,150.906225800514
I-75  SR 52,Seven Springs  Odessa,73.8587461262941,0
Land O Lakes  Connerton,Seven Springs  Odessa,375.144372939831,10.029656291008
Suncoast  SR 54,Seven Springs  Odessa,794.699470758438,41.8459303975105
San Antonio,Seven Springs  Odessa,8.7550539970398,0.578420281410217
Wesley Chapel  I-75 - SR56,Seven Springs  Odessa,186.935789749026,13.5230683982372
Pasco East,Seven Springs  Odessa,302.187682579621,18.5402087569237
Hernando,Seven Springs  Odessa,954.631327409763,23.1417063474655
Citrus,Seven Springs  Odessa,50.6631577461958,0.593429565429688
External,Seven Springs  Odessa,342.637554851404,343.519950288552
Zephyrhills,Seven Springs  Odessa,28.7646958529949,0.724024832248688
Hillsborough  Manatee Spur,Pasco Central,20567.0083818177,546.925965562463
Pinellas,Pasco Central,5339.57428825551,176.691712647676
NW Pasco,Pasco Central,1758.35915187001,28.5399044752121
Pasco West,Pasco Central,17715.1429086058,465.463266849518
Hudson,Pasco Central,2958.22502838075,78.0083619356156
New Port Richey,Pasco Central,7857.19104310265,153.434180796146
E New Port Richey,Pasco Central,3029.41802482307,87.6127471923828
Seven Springs  Odessa,Pasco Central,4674.18752758578,146.514666497707
Pasco Central,Pasco Central,57695.1624499145,1410.15988647938
Land O Lakes  Connerton,Pasco Central,12125.0932446966,376.420244276524
I-75  SR 52,Pasco Central,2062.70328062773,74.8601130247116
Pasco East,Pasco Central,5391.58795862156,113.800998389721
Suncoast  SR 54,Pasco Central,3767.55406608433,123.107592523098
San Antonio,Pasco Central,404.064300119877,9.05064606666565
Wesley Chapel  I-75 - SR56,Pasco Central,4538.30798294256,145.975589692593
Zephyrhills,Pasco Central,559.500691517867,10.4435660839081
Hernando,Pasco Central,16607.8668255479,441.305292665958
Citrus,Pasco Central,332.574922636151,15.022713124752
External,Pasco Central,1117.16299462059,684.860784312885
Dade City,Pasco Central,471.619020462036,9.12730550765991
Hillsborough  Manatee Spur,Land O Lakes  Connerton,16667.5424219265,496.231083363295
Pinellas,Land O Lakes  Connerton,1056.05857881086,46.5426880419254
NW Pasco,Land O Lakes  Connerton,105.396592319012,1.58416676521301
Pasco West,Land O Lakes  Connerton,990.309621979017,33.5748578310013
Hudson,Land O Lakes  Connerton,121.968330569565,0.548071622848511
New Port Richey,Land O Lakes  Connerton,594.946075920016,10.5627654790878
Pasco Central,Land O Lakes  Connerton,12119.6096931236,381.903829932213
Land O Lakes  Connerton,Land O Lakes  Connerton,16513.0079153776,947.530759572983
I-75  SR 52,Land O Lakes  Connerton,948.34911312793,37.5408279895782
Pasco East,Land O Lakes  Connerton,4974.50811078725,280.28829652071
Suncoast  SR 54,Land O Lakes  Connerton,1766.51802432537,45.4526263475418
Seven Springs  Odessa,Land O Lakes  Connerton,379.101958930027,6.07206642627716
San Antonio,Land O Lakes  Connerton,65.7565045058727,3.15284109115601
Wesley Chapel  I-75 - SR56,Land O Lakes  Connerton,1665.12538629328,88.8511326313019
Lacoochie Ind Area,Land O Lakes  Connerton,7.70601749420166,0
Dade City,Land O Lakes  Connerton,146.33787579737,5.32676982879639
Zephyrhills,Land O Lakes  Connerton,145.474999956787,5.00186198949814
Hernando,Land O Lakes  Connerton,1593.14242332056,65.8807509541512
Citrus,Land O Lakes  Connerton,50.0326013118029,1.06843543052673
External,Land O Lakes  Connerton,288.867288783338,253.961492754606
E New Port Richey,Land O Lakes  Connerton,69.8751783370972,3.08482265472412
Lacoochie Ind Area,Pasco Central,8.23818385601044,0
Hillsborough  Manatee Spur,I-75  SR 52,1546.19377051294,47.4770156443119
Pinellas,I-75  SR 52,181.826805353165,13.4683113396168
Pasco West,I-75  SR 52,143.703473925591,4.16922879219055
Hudson,I-75  SR 52,9.38706958293915,6.54550206661224
New Port Richey,I-75  SR 52,67.2589301913977,0
Seven Springs  Odessa,I-75  SR 52,73.8587460070849,0
NW Pasco,I-75  SR 52,23.181888461113,0
Pasco Central,I-75  SR 52,2059.33395028114,78.2295181751251
Land O Lakes  Connerton,I-75  SR 52,951.730233928902,34.1597013473511
I-75  SR 52,I-75  SR 52,1984.72961711884,85.0856137275696
Pasco East,I-75  SR 52,2722.79896312952,54.3521798849106
San Antonio,I-75  SR 52,290.52078217268,28.5729529857636
E New Port Richey,I-75  SR 52,12.1182415485382,0
Suncoast  SR 54,I-75  SR 52,59.3943699002266,3.14922881126404
Wesley Chapel  I-75 - SR56,I-75  SR 52,1416.65802736022,71.1207105517388
Dade City,I-75  SR 52,271.990340590477,0
Zephyrhills,I-75  SR 52,246.630341410637,12.3424197733402
Hernando,I-75  SR 52,400.855532109737,6.80070078372955
Citrus,I-75  SR 52,15.9859384298325,0
External,I-75  SR 52,126.685308808053,109.478438363411
Hillsborough  Manatee Spur,Pasco East,29518.7039251422,831.795337632298
Pinellas,Pasco East,2211.45506518183,118.314592003822
NW Pasco,Pasco East,126.09405785799,2.90155434608459
Pasco West,Pasco East,805.70885142684,38.5463237166405
Hudson,Pasco East,139.039854615927,0
New Port Richey,Pasco East,439.491732805967,12.1242023706436
E New Port Richey,Pasco East,101.564601242542,0
Pasco Central,Pasco East,5410.27919410425,95.1097989678383
Land O Lakes  Connerton,Pasco East,4978.30507632671,276.491377413273
I-75  SR 52,Pasco East,2731.14960497618,46.001571893692
Pasco East,Pasco East,67582.8575820722,2098.25068885088
Seven Springs  Odessa,Pasco East,298.779523740872,21.9483665823936
Suncoast  SR 54,Pasco East,583.72303883906,19.1573937237263
San Antonio,Pasco East,2016.58693347871,104.494619429111
Wesley Chapel  I-75 - SR56,Pasco East,19865.9734510259,533.685348808765
Lacoochie Ind Area,Pasco East,783.51917386055,4.65428459644318
Dade City,Pasco East,14056.3028108546,395.701141893864
Zephyrhills,Pasco East,25122.5498894402,658.39691889286
Hernando,Pasco East,4482.62810544344,225.183302402496
