FROM,TO,TRIPS
Inverness and NE Citrus,Pasco,167.73
Inverness and NE Citrus,Pinellas,34.73
Inverness and NE Citrus,Richloam WMA and E Hernando,22.12
Inverness and NE Citrus,South Central Hernando,21.2
Inverness and NE Citrus,South East Citrus,6743.64
Inverness and NE Citrus,Spring Hill and SW Hernando,198.17
Lake Lindsey  N. Central Hernando,Brooksville Area,2210.7
Lake Lindsey  N. Central Hernando,Croom WMA  NE Hernando,310.93
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,60.37
Lake Lindsey  N. Central Hernando,External,336.6
Lake Lindsey  N. Central Hernando,Hillsborough  Manatee Spur,216.04
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,212.89
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,49.46
Lake Lindsey  N. Central Hernando,Lake Lindsey  N. Central Hernando,2403.81
Lake Lindsey  N. Central Hernando,NW Hernando,610.67
Lake Lindsey  N. Central Hernando,North Central Citrus,81.28
Lake Lindsey  N. Central Hernando,Pasco,435.75
Lake Lindsey  N. Central Hernando,Pinellas,44.17
Lake Lindsey  N. Central Hernando,Richloam WMA and E Hernando,75.64
Lake Lindsey  N. Central Hernando,South Central Hernando,297.89
Lake Lindsey  N. Central Hernando,South East Citrus,93.52
Lake Lindsey  N. Central Hernando,Spring Hill and SW Hernando,1017.98
NW Hernando,Brooksville Area,1114.29
NW Hernando,Croom WMA  NE Hernando,111.57
NW Hernando,Crystal River and NW Citrus,231.3
NW Hernando,External,324.97
NW Hernando,Hillsborough  Manatee Spur,374.74
NW Hernando,Homosassa Springs  SW Citrus,935.23
NW Hernando,Inverness and NE Citrus,44.27
NW Hernando,Lake Lindsey  N. Central Hernando,610.67
NW Hernando,NW Hernando,8819.42
NW Hernando,North Central Citrus,95.35
NW Hernando,Pasco,1031.51
NW Hernando,Pinellas,147.06
NW Hernando,Richloam WMA and E Hernando,34.28
NW Hernando,South Central Hernando,301.11
NW Hernando,South East Citrus,43.16
NW Hernando,Spring Hill and SW Hernando,8998.28
North Central Citrus,Brooksville Area,117.92
North Central Citrus,Croom WMA  NE Hernando,58.3
North Central Citrus,Crystal River and NW Citrus,12219.29
North Central Citrus,External,9953.5
North Central Citrus,Hillsborough  Manatee Spur,98.69
North Central Citrus,Homosassa Springs  SW Citrus,6602
North Central Citrus,Inverness and NE Citrus,13289.4
North Central Citrus,Lake Lindsey  N. Central Hernando,81.28
North Central Citrus,NW Hernando,95.35
North Central Citrus,North Central Citrus,52817.26
North Central Citrus,Pasco,257.45
North Central Citrus,Pinellas,88.57
North Central Citrus,Richloam WMA and E Hernando,13.17
North Central Citrus,South Central Hernando,31.52
North Central Citrus,South East Citrus,2614.62
North Central Citrus,Spring Hill and SW Hernando,327.62
Pasco,Brooksville Area,3114.05
Pasco,Croom WMA  NE Hernando,1006.65
Pasco,Crystal River and NW Citrus,242.81
Pasco,External,0
Pasco,Hillsborough  Manatee Spur,0
Pasco,Homosassa Springs  SW Citrus,896.39
Pasco,Inverness and NE Citrus,167.73
Pasco,Lake Lindsey  N. Central Hernando,435.75
Pasco,NW Hernando,1031.51
Pasco,North Central Citrus,257.45
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Richloam WMA and E Hernando,3949.56
Pasco,South Central Hernando,5465.86
Pasco,South East Citrus,185.2
Pasco,Spring Hill and SW Hernando,30527.76
Pinellas,Brooksville Area,364.55
Pinellas,Croom WMA  NE Hernando,63.93
Pinellas,Crystal River and NW Citrus,72.76
Pinellas,External,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Homosassa Springs  SW Citrus,161.97
Pinellas,Inverness and NE Citrus,34.73
Pinellas,Lake Lindsey  N. Central Hernando,44.17
Pinellas,NW Hernando,147.06
Pinellas,North Central Citrus,88.57
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Richloam WMA and E Hernando,83.88
Pinellas,South Central Hernando,339.89
Pinellas,South East Citrus,45.99
Pinellas,Spring Hill and SW Hernando,2920.51
Richloam WMA and E Hernando,Brooksville Area,366.74
Richloam WMA and E Hernando,Croom WMA  NE Hernando,303.57
Richloam WMA and E Hernando,Crystal River and NW Citrus,4.42
Richloam WMA and E Hernando,External,1279.68
Richloam WMA and E Hernando,Hillsborough  Manatee Spur,727.01
Richloam WMA and E Hernando,Homosassa Springs  SW Citrus,15.79
Richloam WMA and E Hernando,Inverness and NE Citrus,22.12
Richloam WMA and E Hernando,Lake Lindsey  N. Central Hernando,75.64
Richloam WMA and E Hernando,NW Hernando,34.28
Richloam WMA and E Hernando,North Central Citrus,13.17
Richloam WMA and E Hernando,Pasco,3949.56
Richloam WMA and E Hernando,Pinellas,83.88
Richloam WMA and E Hernando,Richloam WMA and E Hernando,4045.49
Richloam WMA and E Hernando,South Central Hernando,325.22
Richloam WMA and E Hernando,South East Citrus,28.77
Richloam WMA and E Hernando,Spring Hill and SW Hernando,492.46
South Central Hernando,Brooksville Area,4947.3
South Central Hernando,Croom WMA  NE Hernando,1113.06
South Central Hernando,Crystal River and NW Citrus,36.56
South Central Hernando,External,628.15
South Central Hernando,Hillsborough  Manatee Spur,1670.75
South Central Hernando,Homosassa Springs  SW Citrus,125.18
South Central Hernando,Inverness and NE Citrus,21.2
South Central Hernando,Lake Lindsey  N. Central Hernando,297.89
South Central Hernando,NW Hernando,301.11
South Central Hernando,North Central Citrus,31.52
South Central Hernando,Pasco,5465.86
South Central Hernando,Pinellas,339.89
South Central Hernando,Richloam WMA and E Hernando,325.22
South Central Hernando,South Central Hernando,7005.22
South Central Hernando,South East Citrus,30.06
South Central Hernando,Spring Hill and SW Hernando,9977.6
South East Citrus,Brooksville Area,250.06
South East Citrus,Croom WMA  NE Hernando,197.72
South East Citrus,Crystal River and NW Citrus,1075.06
South East Citrus,External,2326.18
South East Citrus,Hillsborough  Manatee Spur,72.28
South East Citrus,Homosassa Springs  SW Citrus,919.44
South East Citrus,Inverness and NE Citrus,6743.64
South East Citrus,Lake Lindsey  N. Central Hernando,93.52
South East Citrus,NW Hernando,43.16
South East Citrus,North Central Citrus,2614.62
South East Citrus,Pasco,185.2
South East Citrus,Pinellas,45.99
South East Citrus,Richloam WMA and E Hernando,28.77
South East Citrus,South Central Hernando,30.06
South East Citrus,South East Citrus,8186.98
South East Citrus,Spring Hill and SW Hernando,243.36
Spring Hill and SW Hernando,Brooksville Area,9286.63
Spring Hill and SW Hernando,Croom WMA  NE Hernando,1018.82
Spring Hill and SW Hernando,Crystal River and NW Citrus,438.4
Spring Hill and SW Hernando,External,2828.65
Spring Hill and SW Hernando,Hillsborough  Manatee Spur,8045.38
Spring Hill and SW Hernando,Homosassa Springs  SW Citrus,1924.57
Spring Hill and SW Hernando,Inverness and NE Citrus,198.17
Spring Hill and SW Hernando,Lake Lindsey  N. Central Hernando,1017.98
Spring Hill and SW Hernando,NW Hernando,8998.28
Spring Hill and SW Hernando,North Central Citrus,327.62
Spring Hill and SW Hernando,Pasco,30527.76
Spring Hill and SW Hernando,Pinellas,2920.51
Spring Hill and SW Hernando,Richloam WMA and E Hernando,492.46
Spring Hill and SW Hernando,South Central Hernando,9977.6
Spring Hill and SW Hernando,South East Citrus,243.36
Spring Hill and SW Hernando,Spring Hill and SW Hernando,204646.83
