GEOID,STATE,GROUP,Sum of home_device_count
34013002201,New Jersey,0,2997
34013002202,New Jersey,0,1325
34013002300,New Jersey,0,1868
34013002400,New Jersey,0,1491
34013002500,New Jersey,0,2217
34013002600,New Jersey,0,866
34013002800,New Jersey,0,1526
34013003100,New Jersey,0,1291
34013003500,New Jersey,0,1173
34013003700,New Jersey,0,1527
34013003800,New Jersey,0,1370
34013003900,New Jersey,0,613
34013004100,New Jersey,0,1709
34013004200,New Jersey,0,1660
34013004300,New Jersey,0,1335
34013004400,New Jersey,0,740
34013004500,New Jersey,0,1365
34013004600,New Jersey,0,1766
34013004700,New Jersey,0,1467
34013004801,New Jersey,0,885
34013004802,New Jersey,0,1766
34013004900,New Jersey,0,2142
34013005000,New Jersey,0,1898
34013005100,New Jersey,0,890
34013005200,New Jersey,0,679
34013005300,New Jersey,0,1026
34013005400,New Jersey,0,1800
34013005700,New Jersey,0,1134
34013006200,New Jersey,0,516
34013006400,New Jersey,0,464
34013006600,New Jersey,0,853
34013006700,New Jersey,0,2137
34013006800,New Jersey,0,1608
34013006900,New Jersey,0,1088
34013007000,New Jersey,0,1127
34013007100,New Jersey,0,1161
34013007200,New Jersey,0,1281
34013007300,New Jersey,0,1890
34013007400,New Jersey,0,1162
34013007501,New Jersey,0,1287
34013007502,New Jersey,0,901
34013007600,New Jersey,0,1091
34013007700,New Jersey,0,575
34013007800,New Jersey,0,938
34013007900,New Jersey,0,868
34013008000,New Jersey,0,1190
34013008100,New Jersey,0,2418
34013008200,New Jersey,0,757
34013008700,New Jersey,0,1057
34013008800,New Jersey,0,486
34013008900,New Jersey,0,893
34013009000,New Jersey,0,791
34013009100,New Jersey,0,945
34013009200,New Jersey,0,1011
34013009300,New Jersey,0,2254
34013009400,New Jersey,0,1523
34013009500,New Jersey,0,1529
34013009600,New Jersey,0,1663
34013009700,New Jersey,0,1678
34013009900,New Jersey,0,789
34013010000,New Jersey,0,1280
34013010100,New Jersey,0,1064
34013010200,New Jersey,0,1855
34013010300,New Jersey,0,1964
34013010400,New Jersey,0,2585
34013010500,New Jersey,0,2101
34013010600,New Jersey,0,2014
34013010700,New Jersey,0,1457
34013010800,New Jersey,0,1121
34013010900,New Jersey,0,1164
34013011100,New Jersey,0,2189
34013011200,New Jersey,0,1462
34013011300,New Jersey,0,1862
34013011400,New Jersey,0,1991
34013011500,New Jersey,0,894
34013011600,New Jersey,0,1311
34013011700,New Jersey,0,1946
34013011800,New Jersey,0,683
34013011900,New Jersey,0,607
34013012000,New Jersey,0,1934
34013012100,New Jersey,0,1420
34013012200,New Jersey,0,2237
34013012300,New Jersey,0,1670
34013012400,New Jersey,0,1347
34013012500,New Jersey,0,1503
34013012600,New Jersey,0,1386
34013012700,New Jersey,0,1734
34013012800,New Jersey,0,1323
34013012900,New Jersey,0,2204
34013013000,New Jersey,0,1315
34013013100,New Jersey,0,1310
34013013200,New Jersey,0,1269
34013013300,New Jersey,0,1485
34013013400,New Jersey,0,2707
34013013500,New Jersey,0,2814
34013013600,New Jersey,0,4124
34013013700,New Jersey,0,2879
34013013800,New Jersey,0,2670
34013013900,New Jersey,0,2403
34013014000,New Jersey,0,1453
34013014100,New Jersey,0,1574
34013014200,New Jersey,0,1747
34013014300,New Jersey,0,2593
34013014400,New Jersey,0,1912
34013014500,New Jersey,0,1919
34013014600,New Jersey,0,1996
34013014700,New Jersey,0,3299
34013014800,New Jersey,0,1771
34013014900,New Jersey,0,2057
34013015000,New Jersey,0,1194
34013015100,New Jersey,0,2333
34013015200,New Jersey,0,1936
34013015300,New Jersey,0,1254
34013015400,New Jersey,0,1599
34013015500,New Jersey,0,1496
34013015600,New Jersey,0,1506
34013015700,New Jersey,0,1487
34013015800,New Jersey,0,2045
34013015900,New Jersey,0,2208
34013016000,New Jersey,0,2133
34013016100,New Jersey,0,1068
34013016200,New Jersey,0,1133
34013016300,New Jersey,0,843
34013016400,New Jersey,0,1058
34013016500,New Jersey,0,1060
34013016600,New Jersey,0,588
34013016700,New Jersey,0,906
34013016800,New Jersey,0,1461
34013016900,New Jersey,0,1204
34013017000,New Jersey,0,888
34013017100,New Jersey,0,650
34013017200,New Jersey,0,857
34013017301,New Jersey,0,2347
34013017302,New Jersey,0,2836
34013017400,New Jersey,0,2170
34013017500,New Jersey,0,2757
34013017600,New Jersey,0,2113
34013017700,New Jersey,0,1712
34013017800,New Jersey,0,1457
34013017900,New Jersey,0,1161
34013018000,New Jersey,0,2282
34013018100,New Jersey,0,862
34013018200,New Jersey,0,1183
34013018300,New Jersey,0,1149
34013018400,New Jersey,0,1037
34013018600,New Jersey,0,1815
34013018700,New Jersey,0,1722
34013018800,New Jersey,0,1747
34013018900,New Jersey,0,1504
34013019000,New Jersey,0,1397
34013019100,New Jersey,0,1147
34013019200,New Jersey,0,740
34013019300,New Jersey,0,1288
34013019400,New Jersey,0,1014
34013019500,New Jersey,0,1250
34013019600,New Jersey,0,1644
34013019700,New Jersey,0,2528
34013019800,New Jersey,0,980
34013019900,New Jersey,0,954
34013020000,New Jersey,0,3708
34013020100,New Jersey,0,2984
34013020200,New Jersey,0,1619
34013020300,New Jersey,0,2287
34013020400,New Jersey,0,3966
