GEOID,STATE,Date,Sum of home_device_count
34003054300,New Jersey,13-Feb,1712
34003054400,New Jersey,13-Feb,2347
34003054500,New Jersey,13-Feb,2158
34003054600,New Jersey,13-Feb,3489
34003055100,New Jersey,13-Feb,3637
34003055200,New Jersey,13-Feb,3449
34003056100,New Jersey,13-Feb,2018
34003056200,New Jersey,13-Feb,2502
34003057101,New Jersey,13-Feb,1459
34003057102,New Jersey,13-Feb,1797
34003057200,New Jersey,13-Feb,1497
34003058100,New Jersey,13-Feb,2058
34003058200,New Jersey,13-Feb,2342
34003059100,New Jersey,13-Feb,2505
34003059200,New Jersey,13-Feb,2859
34003060000,New Jersey,13-Feb,5446
34003061100,New Jersey,13-Feb,2393
34003061200,New Jersey,13-Feb,2378
34003061300,New Jersey,13-Feb,1445
34003061400,New Jersey,13-Feb,2633
34013000100,New Jersey,13-Feb,1397
34013000200,New Jersey,13-Feb,1176
34013000300,New Jersey,13-Feb,1482
34013000400,New Jersey,13-Feb,434
34013000500,New Jersey,13-Feb,533
34013000600,New Jersey,13-Feb,1435
34013000700,New Jersey,13-Feb,2834
34013000800,New Jersey,13-Feb,1538
34013000900,New Jersey,13-Feb,1893
34013001000,New Jersey,13-Feb,1894
34013001100,New Jersey,13-Feb,1194
34013001300,New Jersey,13-Feb,734
34013001400,New Jersey,13-Feb,1793
34013001500,New Jersey,13-Feb,1421
34013001600,New Jersey,13-Feb,651
34013001700,New Jersey,13-Feb,1179
34013001800,New Jersey,13-Feb,1069
34013001900,New Jersey,13-Feb,1279
34013002000,New Jersey,13-Feb,1700
34013002100,New Jersey,13-Feb,1900
34013002201,New Jersey,13-Feb,3671
34013002202,New Jersey,13-Feb,1205
34013002300,New Jersey,13-Feb,2249
34013002400,New Jersey,13-Feb,1697
34013002500,New Jersey,13-Feb,2328
34013002600,New Jersey,13-Feb,1001
34013002800,New Jersey,13-Feb,1309
34013003100,New Jersey,13-Feb,1363
34013003500,New Jersey,13-Feb,1502
34013003700,New Jersey,13-Feb,1362
34013003800,New Jersey,13-Feb,1792
34013003900,New Jersey,13-Feb,782
34013004100,New Jersey,13-Feb,1515
34013004200,New Jersey,13-Feb,1781
34013004300,New Jersey,13-Feb,1505
34013004400,New Jersey,13-Feb,857
34013004500,New Jersey,13-Feb,1402
34013004600,New Jersey,13-Feb,1703
34013004700,New Jersey,13-Feb,1604
34013004801,New Jersey,13-Feb,910
34013004802,New Jersey,13-Feb,1584
34013004900,New Jersey,13-Feb,2055
34013005000,New Jersey,13-Feb,2211
34013005100,New Jersey,13-Feb,1016
34013005200,New Jersey,13-Feb,762
34013005300,New Jersey,13-Feb,1340
34013005400,New Jersey,13-Feb,2084
34013005700,New Jersey,13-Feb,1260
34013006200,New Jersey,13-Feb,687
34013006400,New Jersey,13-Feb,344
34013006600,New Jersey,13-Feb,744
34013006700,New Jersey,13-Feb,2121
34013006800,New Jersey,13-Feb,2025
34013006900,New Jersey,13-Feb,1365
34013007000,New Jersey,13-Feb,1074
34013007100,New Jersey,13-Feb,1180
34013007200,New Jersey,13-Feb,1434
34013007300,New Jersey,13-Feb,2043
34013007400,New Jersey,13-Feb,1296
34013007501,New Jersey,13-Feb,1695
34013007502,New Jersey,13-Feb,1229
34013007600,New Jersey,13-Feb,1099
34013007700,New Jersey,13-Feb,589
34013007800,New Jersey,13-Feb,1085
34013007900,New Jersey,13-Feb,921
34013008000,New Jersey,13-Feb,1277
34013008100,New Jersey,13-Feb,2346
34013008200,New Jersey,13-Feb,1025
34013008700,New Jersey,13-Feb,1454
34013008800,New Jersey,13-Feb,648
34013008900,New Jersey,13-Feb,898
34013009000,New Jersey,13-Feb,754
34013009100,New Jersey,13-Feb,1145
34013009200,New Jersey,13-Feb,1407
34013009300,New Jersey,13-Feb,2036
34013009400,New Jersey,13-Feb,1866
34013009500,New Jersey,13-Feb,2114
34013009600,New Jersey,13-Feb,1990
34013009700,New Jersey,13-Feb,1602
34013009900,New Jersey,13-Feb,851
34013010000,New Jersey,13-Feb,1213
34013010100,New Jersey,13-Feb,1153
34013010200,New Jersey,13-Feb,1517
34013010300,New Jersey,13-Feb,1905
34013010400,New Jersey,13-Feb,2845
34013010500,New Jersey,13-Feb,1676
34013010600,New Jersey,13-Feb,2003
34013010700,New Jersey,13-Feb,1495
34013010800,New Jersey,13-Feb,1314
34013010900,New Jersey,13-Feb,1207
34013011100,New Jersey,13-Feb,2048
34013011200,New Jersey,13-Feb,1316
34013011300,New Jersey,13-Feb,1797
34013011400,New Jersey,13-Feb,2098
34013011500,New Jersey,13-Feb,1037
34013011600,New Jersey,13-Feb,1633
34013011700,New Jersey,13-Feb,1749
34013011800,New Jersey,13-Feb,809
34013011900,New Jersey,13-Feb,755
34013012000,New Jersey,13-Feb,2090
34013012100,New Jersey,13-Feb,1537
34013012200,New Jersey,13-Feb,2526
34013012300,New Jersey,13-Feb,1835
34013012400,New Jersey,13-Feb,1663
34013012500,New Jersey,13-Feb,1560
34013012600,New Jersey,13-Feb,1583
34013012700,New Jersey,13-Feb,1822
34013012800,New Jersey,13-Feb,1619
34013012900,New Jersey,13-Feb,1850
34013013000,New Jersey,13-Feb,1364
34013013100,New Jersey,13-Feb,1206
34013013200,New Jersey,13-Feb,1279
34013013300,New Jersey,13-Feb,1709
34013013400,New Jersey,13-Feb,2108
34013013500,New Jersey,13-Feb,2563
34013013600,New Jersey,13-Feb,3134
34013013700,New Jersey,13-Feb,2482
34013013800,New Jersey,13-Feb,2067
34013013900,New Jersey,13-Feb,2283
34013014000,New Jersey,13-Feb,1344
34013014100,New Jersey,13-Feb,1549
34013014200,New Jersey,13-Feb,1526
34013014300,New Jersey,13-Feb,2147
34013014400,New Jersey,13-Feb,1653
34013014500,New Jersey,13-Feb,1619
34013014600,New Jersey,13-Feb,1964
34013014700,New Jersey,13-Feb,3111
34013014800,New Jersey,13-Feb,1319
34013014900,New Jersey,13-Feb,1635
34013015000,New Jersey,13-Feb,1111
34013015100,New Jersey,13-Feb,1914
34013015200,New Jersey,13-Feb,1792
34013015300,New Jersey,13-Feb,998
34013015400,New Jersey,13-Feb,1580
34013015500,New Jersey,13-Feb,1170
34013015600,New Jersey,13-Feb,1518
34013015700,New Jersey,13-Feb,1273
34013015800,New Jersey,13-Feb,1837
34013015900,New Jersey,13-Feb,2055
34013016000,New Jersey,13-Feb,1648
34013016100,New Jersey,13-Feb,893
34013016200,New Jersey,13-Feb,1093
34013016300,New Jersey,13-Feb,733
34013016400,New Jersey,13-Feb,815
34013016500,New Jersey,13-Feb,1030
34013016600,New Jersey,13-Feb,504
34013016700,New Jersey,13-Feb,722
34013016800,New Jersey,13-Feb,1220
34013016900,New Jersey,13-Feb,1004
34013017000,New Jersey,13-Feb,739
34013017100,New Jersey,13-Feb,723
34013017200,New Jersey,13-Feb,947
34013017301,New Jersey,13-Feb,2013
34013017302,New Jersey,13-Feb,2342
34013017400,New Jersey,13-Feb,2085
34013017500,New Jersey,13-Feb,1792
34013017600,New Jersey,13-Feb,1922
34013017700,New Jersey,13-Feb,1764
34013017800,New Jersey,13-Feb,1385
34013017900,New Jersey,13-Feb,1012
34013018000,New Jersey,13-Feb,1858
34013018100,New Jersey,13-Feb,954
34013018200,New Jersey,13-Feb,1613
34013018300,New Jersey,13-Feb,1470
34013018400,New Jersey,13-Feb,1004
34013018600,New Jersey,13-Feb,2139
34013018700,New Jersey,13-Feb,1828
34013018800,New Jersey,13-Feb,1485
34013018900,New Jersey,13-Feb,1712
34013019000,New Jersey,13-Feb,933
34013019100,New Jersey,13-Feb,1209
34013019200,New Jersey,13-Feb,1718
34013019300,New Jersey,13-Feb,1316
34013019400,New Jersey,13-Feb,698
34013019500,New Jersey,13-Feb,1096
34013019600,New Jersey,13-Feb,1366
34013019700,New Jersey,13-Feb,2146
34013019800,New Jersey,13-Feb,706
34013019900,New Jersey,13-Feb,610
34013020000,New Jersey,13-Feb,3147
34013020100,New Jersey,13-Feb,2267
34013020200,New Jersey,13-Feb,1355
34013020300,New Jersey,13-Feb,1943
34013020400,New Jersey,13-Feb,2839
