GEOID,County,State,"Change in percent devices at home, midday"
34003052200,Bergen,NJ,34.44
34003053100,Bergen,NJ,39.83
34003053200,Bergen,NJ,42.22
34003054100,Bergen,NJ,37.87
34003054200,Bergen,NJ,32.96
34003054300,Bergen,NJ,43.61
34003054400,Bergen,NJ,31.14
34003054500,Bergen,NJ,39.2
34003054600,Bergen,NJ,37.09
34003055100,Bergen,NJ,44.85
34003055200,Bergen,NJ,44.24
34003056100,Bergen,NJ,46.33
34003056200,Bergen,NJ,39.26
34003057101,Bergen,NJ,28.33
34003057102,Bergen,NJ,29.02
34003057200,Bergen,NJ,24.44
34003058100,Bergen,NJ,35.14
34003058200,Bergen,NJ,41.77
34003059100,Bergen,NJ,31.96
34003059200,Bergen,NJ,40.17
34003060000,Bergen,NJ,40.01
34003061100,Bergen,NJ,42.93
34003061200,Bergen,NJ,44.94
34003061300,Bergen,NJ,44.11
34003061400,Bergen,NJ,44.52
34013000100,Essex,NJ,29.08
34013000200,Essex,NJ,24.26
34013000300,Essex,NJ,17.23
34013000400,Essex,NJ,20.98
34013000500,Essex,NJ,35.08
34013000600,Essex,NJ,26.18
34013000700,Essex,NJ,22.05
34013000800,Essex,NJ,22.06
34013000900,Essex,NJ,23.8
34013001000,Essex,NJ,18.09
34013001100,Essex,NJ,-8.92
34013001300,Essex,NJ,23.74
34013001400,Essex,NJ,11.34
34013001500,Essex,NJ,15.43
34013001600,Essex,NJ,19.04
34013001700,Essex,NJ,23.24
34013001800,Essex,NJ,24.62
34013001900,Essex,NJ,19.8
34013002000,Essex,NJ,20.39
34013002100,Essex,NJ,23.05
34013002201,Essex,NJ,20.66
34013002202,Essex,NJ,26.11
34013002300,Essex,NJ,15.24
34013002400,Essex,NJ,26.99
34013002500,Essex,NJ,17.01
34013002600,Essex,NJ,16.11
34013002800,Essex,NJ,27.86
34013003100,Essex,NJ,31.71
34013003500,Essex,NJ,20.4
34013003700,Essex,NJ,15.68
34013003800,Essex,NJ,19.09
34013003900,Essex,NJ,23.37
34013004100,Essex,NJ,21.92
34013004200,Essex,NJ,16.28
34013004300,Essex,NJ,18.41
34013004400,Essex,NJ,19.04
34013004500,Essex,NJ,25.15
34013004600,Essex,NJ,23.35
34013004700,Essex,NJ,25.23
34013004801,Essex,NJ,22.25
34013004802,Essex,NJ,17.13
34013004900,Essex,NJ,27.67
34013005000,Essex,NJ,19.63
34013005100,Essex,NJ,16.88
34013005200,Essex,NJ,24.27
34013005300,Essex,NJ,17.69
34013005400,Essex,NJ,21.42
34013005700,Essex,NJ,21.95
34013006200,Essex,NJ,13.67
34013006400,Essex,NJ,46.44
34013006600,Essex,NJ,26.77
34013006700,Essex,NJ,17.31
34013006800,Essex,NJ,28.71
34013006900,Essex,NJ,23.98
34013007000,Essex,NJ,26.69
34013007100,Essex,NJ,26.84
34013007200,Essex,NJ,30.07
34013007300,Essex,NJ,26.24
34013007400,Essex,NJ,15.37
34013007501,Essex,NJ,23.05
34013007502,Essex,NJ,17.68
34013007600,Essex,NJ,22.81
34013007700,Essex,NJ,25.83
34013007800,Essex,NJ,31.01
34013007900,Essex,NJ,24.58
34013008000,Essex,NJ,18.22
34013008100,Essex,NJ,19.64
34013008200,Essex,NJ,0.64
34013008700,Essex,NJ,24.72
34013008800,Essex,NJ,27.28
34013008900,Essex,NJ,18.9
34013009000,Essex,NJ,27.88
34013009100,Essex,NJ,19.43
34013009200,Essex,NJ,27.39
34013009300,Essex,NJ,24.59
34013009400,Essex,NJ,32.48
34013009500,Essex,NJ,23.77
34013009600,Essex,NJ,29.78
34013009700,Essex,NJ,26.98
34013009900,Essex,NJ,25.38
34013010000,Essex,NJ,40.23
34013010100,Essex,NJ,25.13
34013010200,Essex,NJ,29
34013010300,Essex,NJ,25.86
34013010400,Essex,NJ,22.74
34013010500,Essex,NJ,23.58
34013010600,Essex,NJ,18.05
34013010700,Essex,NJ,21.18
34013010800,Essex,NJ,20.46
34013010900,Essex,NJ,18.65
34013011100,Essex,NJ,17.73
34013011200,Essex,NJ,24.73
34013011300,Essex,NJ,21.93
34013011400,Essex,NJ,18.67
34013011500,Essex,NJ,19.1
34013011600,Essex,NJ,16.97
34013011700,Essex,NJ,26.22
34013011800,Essex,NJ,23.84
34013011900,Essex,NJ,21
34013012000,Essex,NJ,16.08
34013012100,Essex,NJ,22.36
34013012200,Essex,NJ,20.86
34013012300,Essex,NJ,25.34
34013012400,Essex,NJ,20.55
34013012500,Essex,NJ,20.4
34013012600,Essex,NJ,20.18
34013012700,Essex,NJ,23.67
34013012800,Essex,NJ,15.67
34013012900,Essex,NJ,19.98
34013013000,Essex,NJ,20.89
34013013100,Essex,NJ,17.42
34013013200,Essex,NJ,20.6
34013013300,Essex,NJ,21.72
34013013400,Essex,NJ,44.93
34013013500,Essex,NJ,39.76
34013013600,Essex,NJ,45.32
34013013700,Essex,NJ,38.88
34013013800,Essex,NJ,35.13
34013013900,Essex,NJ,35.48
34013014000,Essex,NJ,29.61
34013014100,Essex,NJ,28.29
34013014200,Essex,NJ,40.32
34013014300,Essex,NJ,35.19
34013014400,Essex,NJ,26.56
34013014500,Essex,NJ,28.82
34013014600,Essex,NJ,27.46
34013014700,Essex,NJ,31.45
34013014800,Essex,NJ,47.89
34013014900,Essex,NJ,45.64
34013015000,Essex,NJ,27.66
34013015100,Essex,NJ,42.38
34013015200,Essex,NJ,28.4
34013015300,Essex,NJ,26.32
34013015400,Essex,NJ,19.89
34013015500,Essex,NJ,32.63
34013015600,Essex,NJ,33
34013015700,Essex,NJ,30.14
34013015800,Essex,NJ,29.29
34013015900,Essex,NJ,32.71
34013016000,Essex,NJ,38
34013016100,Essex,NJ,33.47
34013016200,Essex,NJ,38.7
34013016300,Essex,NJ,42.53
34013016400,Essex,NJ,47.17
34013016500,Essex,NJ,32.48
34013016600,Essex,NJ,24.87
34013016700,Essex,NJ,41.44
34013016800,Essex,NJ,27.69
34013016900,Essex,NJ,32.11
34013017000,Essex,NJ,41.57
34013017100,Essex,NJ,24.46
34013017200,Essex,NJ,32.92
34013017301,Essex,NJ,44
34013017302,Essex,NJ,36.96
34013017400,Essex,NJ,35.49
34013017500,Essex,NJ,42.11
34013017600,Essex,NJ,32.13
34013017700,Essex,NJ,29.74
34013017800,Essex,NJ,37.23
34013017900,Essex,NJ,41.12
34013018000,Essex,NJ,45.13
34013018100,Essex,NJ,22.08
34013018200,Essex,NJ,18.74
34013018300,Essex,NJ,14.11
34013018400,Essex,NJ,21.98
34013018600,Essex,NJ,22.93
34013018700,Essex,NJ,23.81
34013018800,Essex,NJ,28.15
34013018900,Essex,NJ,28.23
34013019000,Essex,NJ,49.83
34013019100,Essex,NJ,39.88
34013019200,Essex,NJ,-9.29
34013019300,Essex,NJ,27.75
34013019400,Essex,NJ,49.79
34013019500,Essex,NJ,39.69
34013019600,Essex,NJ,34.63
34013019700,Essex,NJ,32.1
34013019800,Essex,NJ,43.38
34013019900,Essex,NJ,45.36
34013020000,Essex,NJ,45.75
34013020100,Essex,NJ,51.09
34013020200,Essex,NJ,48.35
34013020300,Essex,NJ,46.51
34013020400,Essex,NJ,53.4
34013020500,Essex,NJ,48.09
34013020600,Essex,NJ,51.78
34013020700,Essex,NJ,43.55
34013020800,Essex,NJ,49.64
34013020901,Essex,NJ,39.19
34013020902,Essex,NJ,40.8
34013021000,Essex,NJ,38.48
34013021100,Essex,NJ,39.59
34013021200,Essex,NJ,44.51
34013021300,Essex,NJ,40.34
34013021400,Essex,NJ,43.47
34013021601,Essex,NJ,40.3
34013021602,Essex,NJ,47.87
34013021701,Essex,NJ,32.02
34013021702,Essex,NJ,35.05
34013021801,Essex,NJ,45.73
