GEOID,County,Time of Day,Change in Percent Devices at Home
34003052200,Bergen,Morning,10.65
34003053100,Bergen,Morning,18.74
34003053200,Bergen,Morning,22.19
34003054100,Bergen,Morning,15
34003054200,Bergen,Morning,11.06
34003054300,Bergen,Morning,14.2
34003054400,Bergen,Morning,13.22
34003054500,Bergen,Morning,20.9
34003054600,Bergen,Morning,16.76
34003055100,Bergen,Morning,15.84
34003055200,Bergen,Morning,13.33
34003056100,Bergen,Morning,14.46
34003056200,Bergen,Morning,13.77
34003057101,Bergen,Morning,7.48
34003057102,Bergen,Morning,15.14
34003057200,Bergen,Morning,6.76
34003058100,Bergen,Morning,16.63
34003058200,Bergen,Morning,13.3
34003059100,Bergen,Morning,11.85
34003059200,Bergen,Morning,13.85
34003060000,Bergen,Morning,18.21
34003061100,Bergen,Morning,20.2
34003061200,Bergen,Morning,27.15
34003061300,Bergen,Morning,22.25
34003061400,Bergen,Morning,15.87
34013000100,Essex,Morning,15.66
34013000200,Essex,Morning,13.73
34013000300,Essex,Morning,0.48
34013000400,Essex,Morning,10.15
34013000500,Essex,Morning,4.89
34013000600,Essex,Morning,9.8
34013000700,Essex,Morning,3.44
34013000800,Essex,Morning,6.32
34013000900,Essex,Morning,5.38
34013001000,Essex,Morning,6.62
34013001100,Essex,Morning,-14.33
34013001300,Essex,Morning,27.05
34013001400,Essex,Morning,-8.8
34013001500,Essex,Morning,-6.95
34013001600,Essex,Morning,1.08
34013001700,Essex,Morning,7.78
34013001800,Essex,Morning,15
34013001900,Essex,Morning,2.86
34013002000,Essex,Morning,7.83
34013002100,Essex,Morning,0.31
34013002201,Essex,Morning,2.18
34013002202,Essex,Morning,-1.05
34013002300,Essex,Morning,1.49
34013002400,Essex,Morning,3.58
34013002500,Essex,Morning,6.32
34013002600,Essex,Morning,14.84
34013002800,Essex,Morning,1.65
34013003100,Essex,Morning,12.95
34013003500,Essex,Morning,5.41
34013003700,Essex,Morning,16.98
34013003800,Essex,Morning,6.45
34013003900,Essex,Morning,-0.56
34013004100,Essex,Morning,12.63
34013004200,Essex,Morning,3.68
34013004300,Essex,Morning,-1.17
34013004400,Essex,Morning,-0.68
34013004500,Essex,Morning,5.86
34013004600,Essex,Morning,5.6
34013004700,Essex,Morning,4.94
34013004801,Essex,Morning,4.13
34013004802,Essex,Morning,16.64
34013004900,Essex,Morning,8.04
34013005000,Essex,Morning,-3.9
34013005100,Essex,Morning,4.2
34013005200,Essex,Morning,7.9
34013005300,Essex,Morning,1.61
34013005400,Essex,Morning,16.89
34013005700,Essex,Morning,8.54
34013006200,Essex,Morning,-14.34
34013006400,Essex,Morning,19.6
34013006600,Essex,Morning,20.5
34013006700,Essex,Morning,4.11
34013006800,Essex,Morning,1.8
34013006900,Essex,Morning,4.25
34013007000,Essex,Morning,9.88
34013007100,Essex,Morning,-4.85
34013007200,Essex,Morning,6.96
34013007300,Essex,Morning,11.76
34013007400,Essex,Morning,0.63
34013007501,Essex,Morning,-6.52
34013007502,Essex,Morning,-4.86
34013007600,Essex,Morning,9.8
34013007700,Essex,Morning,15.12
34013007800,Essex,Morning,14.17
34013007900,Essex,Morning,-2.26
34013008000,Essex,Morning,2.1
34013008100,Essex,Morning,12.28
34013008200,Essex,Morning,1.2
34013008700,Essex,Morning,2.16
34013008800,Essex,Morning,14.02
34013008900,Essex,Morning,12.37
34013009000,Essex,Morning,5.27
34013009100,Essex,Morning,-1.15
34013009200,Essex,Morning,0.42
34013009300,Essex,Morning,11.15
34013009400,Essex,Morning,4.58
34013009500,Essex,Morning,4.55
34013009600,Essex,Morning,4.78
34013009700,Essex,Morning,16.68
34013009900,Essex,Morning,1.75
34013010000,Essex,Morning,16.96
34013010100,Essex,Morning,8.73
34013010200,Essex,Morning,14.68
34013010300,Essex,Morning,4.37
34013010400,Essex,Morning,0.96
34013010500,Essex,Morning,19.01
34013010600,Essex,Morning,8.03
34013010700,Essex,Morning,6.28
34013010800,Essex,Morning,10.91
34013010900,Essex,Morning,21.81
34013011100,Essex,Morning,2.76
34013011200,Essex,Morning,19
34013011300,Essex,Morning,6.28
34013011400,Essex,Morning,4.57
34013011500,Essex,Morning,-0.79
34013011600,Essex,Morning,8.57
34013011700,Essex,Morning,5.6
34013011800,Essex,Morning,2.05
34013011900,Essex,Morning,15.54
34013012000,Essex,Morning,5.25
34013012100,Essex,Morning,4.44
34013012200,Essex,Morning,9.45
34013012300,Essex,Morning,6.14
34013012400,Essex,Morning,1.13
34013012500,Essex,Morning,7.58
34013012600,Essex,Morning,-1.49
34013012700,Essex,Morning,5.28
34013012800,Essex,Morning,-0.72
34013012900,Essex,Morning,4.76
34013013000,Essex,Morning,-3.35
34013013100,Essex,Morning,6.52
34013013200,Essex,Morning,0.2
34013013300,Essex,Morning,7.99
34013013400,Essex,Morning,17.47
34013013500,Essex,Morning,17.76
34013013600,Essex,Morning,22.27
34013013700,Essex,Morning,21.2
34013013800,Essex,Morning,12.55
34013013900,Essex,Morning,11.87
34013014000,Essex,Morning,-0.51
34013014100,Essex,Morning,10.77
34013014200,Essex,Morning,18.05
34013014300,Essex,Morning,11.21
34013014400,Essex,Morning,10.2
34013014500,Essex,Morning,15.7
34013014600,Essex,Morning,13.44
34013014700,Essex,Morning,14.65
34013014800,Essex,Morning,6.19
34013014900,Essex,Morning,19.51
34013015000,Essex,Morning,9.06
34013015100,Essex,Morning,11.51
34013015200,Essex,Morning,14.55
34013015300,Essex,Morning,6.89
34013015400,Essex,Morning,1.67
34013015500,Essex,Morning,6.34
34013015600,Essex,Morning,12.47
34013015700,Essex,Morning,4.37
34013015800,Essex,Morning,12.82
34013015900,Essex,Morning,10.62
34013016000,Essex,Morning,22.42
34013016100,Essex,Morning,14.82
34013016200,Essex,Morning,20.09
34013016300,Essex,Morning,17.13
34013016400,Essex,Morning,18.19
34013016500,Essex,Morning,20.85
34013016600,Essex,Morning,5.61
34013016700,Essex,Morning,8.68
34013016800,Essex,Morning,14.71
34013016900,Essex,Morning,18.87
34013017000,Essex,Morning,5.74
34013017100,Essex,Morning,10.42
34013017200,Essex,Morning,6.94
34013017301,Essex,Morning,21.98
34013017302,Essex,Morning,11.17
34013017400,Essex,Morning,14.23
34013017500,Essex,Morning,24.95
34013017600,Essex,Morning,12.38
34013017700,Essex,Morning,9.61
34013017800,Essex,Morning,13.67
34013017900,Essex,Morning,10.72
34013018000,Essex,Morning,14.17
34013018100,Essex,Morning,9.67
34013018200,Essex,Morning,5.54
34013018300,Essex,Morning,2.85
34013018400,Essex,Morning,12.72
34013018600,Essex,Morning,9.76
34013018700,Essex,Morning,10.23
34013018800,Essex,Morning,14.66
34013018900,Essex,Morning,1.22
34013019000,Essex,Morning,16.89
34013019100,Essex,Morning,13.13
34013019200,Essex,Morning,-39.59
34013019300,Essex,Morning,10.09
34013019400,Essex,Morning,19.31
34013019500,Essex,Morning,17.6
34013019600,Essex,Morning,11.65
34013019700,Essex,Morning,15.8
34013019800,Essex,Morning,21.84
34013019900,Essex,Morning,22.8
34013020000,Essex,Morning,23.71
34013020100,Essex,Morning,23.59
34013020200,Essex,Morning,20.48
34013020300,Essex,Morning,22.44
34013020400,Essex,Morning,19.48
34013020500,Essex,Morning,24.82
34013020600,Essex,Morning,20.08
34013020700,Essex,Morning,17.29
34013020800,Essex,Morning,19.56
34013020901,Essex,Morning,8.12
34013020902,Essex,Morning,20.66
34013021000,Essex,Morning,13.97
34013021100,Essex,Morning,19.3
34013021200,Essex,Morning,18.07
34013021300,Essex,Morning,21.54
34013021400,Essex,Morning,18.83
34013021601,Essex,Morning,17.55
34013021602,Essex,Morning,24.34
34013021701,Essex,Morning,11.6
34013021702,Essex,Morning,16.33
34013021801,Essex,Morning,15.55
34013021802,Essex,Morning,25.22
34013021803,Essex,Morning,12.33
34013022700,Essex,Morning,8.51
34013022800,Essex,Morning,9.32
34013022900,Essex,Morning,7.64
34013023000,Essex,Morning,6.39
34013023100,Essex,Morning,1.75
34013023200,Essex,Morning,12.97
34013980100,Essex,Morning,62.22
34013980200,Essex,Morning,-6.26
34017000100,Hudson,Morning,9.89
34017000200,Hudson,Morning,10.65
34017000300,Hudson,Morning,11.22
34017000400,Hudson,Morning,16.74
34017000500,Hudson,Morning,17.02
34017000600,Hudson,Morning,13.22
34017000700,Hudson,Morning,12.32
34017000800,Hudson,Morning,4.58
34017000902,Hudson,Morning,7.56
34017001000,Hudson,Morning,2.34
34017001100,Hudson,Morning,6.33
34017001201,Hudson,Morning,9.77
34017001202,Hudson,Morning,-2.69
34017001300,Hudson,Morning,7.72
34017001400,Hudson,Morning,8.83
34017001701,Hudson,Morning,8.18
34017001800,Hudson,Morning,10.59
34017001900,Hudson,Morning,7.5
34017002000,Hudson,Morning,4.31
34017002200,Hudson,Morning,13.48
34017002300,Hudson,Morning,1.04
34017002400,Hudson,Morning,8.66
34017002700,Hudson,Morning,4.79
34017002800,Hudson,Morning,-0.98
34017002900,Hudson,Morning,4.92
34017003000,Hudson,Morning,2.27
34017003100,Hudson,Morning,10.6
34017003500,Hudson,Morning,7.39
34017004000,Hudson,Morning,8.61
34017004101,Hudson,Morning,8.84
34017004102,Hudson,Morning,12.05
34017004200,Hudson,Morning,6.6
34017004300,Hudson,Morning,3.73
34017004400,Hudson,Morning,12.86
34017004500,Hudson,Morning,10.75
34017004600,Hudson,Morning,16.78
34017004700,Hudson,Morning,9.3
34017004800,Hudson,Morning,-0.53
34017004900,Hudson,Morning,8.03
34017005200,Hudson,Morning,8.66
34017005300,Hudson,Morning,7.76
34017005400,Hudson,Morning,8.38
34017005500,Hudson,Morning,-0.63
34017005600,Hudson,Morning,13.66
34017005801,Hudson,Morning,-1.04
34017005802,Hudson,Morning,-10.67
34017005900,Hudson,Morning,8.36
34017006000,Hudson,Morning,2.92
34017006100,Hudson,Morning,12.33
34017006200,Hudson,Morning,4.19
34017006300,Hudson,Morning,11.6
34017006400,Hudson,Morning,16.17
34017006500,Hudson,Morning,9.3
34017006600,Hudson,Morning,0.05
34017006700,Hudson,Morning,0.16
34017006800,Hudson,Morning,8.9
34017006900,Hudson,Morning,5.28
34017007000,Hudson,Morning,5.75
34017007100,Hudson,Morning,17.77
34017007200,Hudson,Morning,-2.83
34017007300,Hudson,Morning,6.3
34017007400,Hudson,Morning,3.59
34017007500,Hudson,Morning,3.58
34017007600,Hudson,Morning,2.18
34017007700,Hudson,Morning,0.14
34017007800,Hudson,Morning,-6.32
34017010100,Hudson,Morning,8.52
34017010200,Hudson,Morning,6
34017010300,Hudson,Morning,15.08
34017010400,Hudson,Morning,-1.32
34017010500,Hudson,Morning,14.07
34017010600,Hudson,Morning,11.02
34017010700,Hudson,Morning,5.6
34017010800,Hudson,Morning,5.79
34017010900,Hudson,Morning,0.22
34017011000,Hudson,Morning,14
34017011100,Hudson,Morning,13.32
34017011200,Hudson,Morning,16.52
34017011300,Hudson,Morning,-2.59
34017011400,Hudson,Morning,15.36
34017011500,Hudson,Morning,28.03
34017011600,Hudson,Morning,9.24
34017012300,Hudson,Morning,7.29
34017012400,Hudson,Morning,6.96
34017012500,Hudson,Morning,22.36
34017012600,Hudson,Morning,16.44
34017012700,Hudson,Morning,4.64
34017012800,Hudson,Morning,12.1
34017012900,Hudson,Morning,2.81
34017013000,Hudson,Morning,18.61
34017013100,Hudson,Morning,30.86
34017013200,Hudson,Morning,14.54
34017013300,Hudson,Morning,0.91
34017013400,Hudson,Morning,-16.95
34017013500,Hudson,Morning,4.07
34017013600,Hudson,Morning,10.53
34017013700,Hudson,Morning,3.34
34017013800,Hudson,Morning,3.93
34017013900,Hudson,Morning,19.5
34017014000,Hudson,Morning,9.69
34017014101,Hudson,Morning,15.79
34017014102,Hudson,Morning,17.58
34017014200,Hudson,Morning,2.34
34017014300,Hudson,Morning,5.91
34017014400,Hudson,Morning,12.46
34017014501,Hudson,Morning,9.95
34017014502,Hudson,Morning,21.17
34017014600,Hudson,Morning,1.85
34017014700,Hudson,Morning,19.71
34017014800,Hudson,Morning,6.35
34017014900,Hudson,Morning,14.75
34017015001,Hudson,Morning,9.85
34017015002,Hudson,Morning,9.4
34017015100,Hudson,Morning,15.94
34017015201,Hudson,Morning,2.12
34017015202,Hudson,Morning,11.38
34017015300,Hudson,Morning,10.45
34017015500,Hudson,Morning,5.54
34017015600,Hudson,Morning,8.6
34017015700,Hudson,Morning,9.01
34017015801,Hudson,Morning,9.36
34017015802,Hudson,Morning,13.83
34017015900,Hudson,Morning,6.05
34017016000,Hudson,Morning,11.67
34017016100,Hudson,Morning,14.99
34017016200,Hudson,Morning,14.47
34017016300,Hudson,Morning,13.7
34017016400,Hudson,Morning,-4.69
34017016500,Hudson,Morning,3.31
34017016600,Hudson,Morning,3.42
34017016700,Hudson,Morning,34.43
34017016800,Hudson,Morning,5.26
34017016900,Hudson,Morning,6.33
34017017000,Hudson,Morning,15.15
34017017100,Hudson,Morning,12.26
34017017200,Hudson,Morning,9.58
34017017300,Hudson,Morning,-10.94
34017017400,Hudson,Morning,10.58
34017017500,Hudson,Morning,12.12
34017017600,Hudson,Morning,-2.13
34017017700,Hudson,Morning,19.62
34017017800,Hudson,Morning,16.42
34017017900,Hudson,Morning,19.12
34017018000,Hudson,Morning,11.22
34017018100,Hudson,Morning,7.7
34017018200,Hudson,Morning,16.63
34017018301,Hudson,Morning,-28.81
34017018302,Hudson,Morning,2.41
34017018400,Hudson,Morning,2.9
34017018500,Hudson,Morning,-19.97
34017018600,Hudson,Morning,-0.54
34017018701,Hudson,Morning,-21.54
34017018702,Hudson,Morning,0.36
34017018800,Hudson,Morning,5.63
34017018900,Hudson,Morning,10.28
34017019000,Hudson,Morning,5.64
34017019100,Hudson,Morning,-3.86
34017019200,Hudson,Morning,-0.64
