Percent Time at Location,Week,Percent Time at Location ,Chart
Home,2/3/2020,45.09,Weekday
Home,2/10/2020,43.76,Weekday
Home,2/17/2020,47.91,Weekday
Home,2/24/2020,41.91,Weekday
Home,3/2/2020,42.21,Weekday
Home,3/9/2020,46.6,Weekday
Home,3/16/2020,67.45,Weekday
Home,3/23/2020,77.77,Weekday
Home,3/30/2020,79.3,Weekday
Home,4/6/2020,80.34,Weekday
Home,4/13/2020,81.26,Weekday
Home,4/20/2020,78.46,Weekday
Home,4/27/2020,76.26,Weekday
Home,5/4/2020,75.15,Weekday
Home,2/3/2020,65.78,Weekend
Home,2/10/2020,63.33,Weekend
Home,2/17/2020,64.24,Weekend
Home,2/24/2020,64.75,Weekend
Home,3/2/2020,64.75,Weekend
Home,3/9/2020,72.58,Weekend
Home,3/16/2020,81.09,Weekend
Home,3/23/2020,85.93,Weekend
Home,3/30/2020,85.08,Weekend
Home,4/6/2020,85.96,Weekend
Home,4/13/2020,85.79,Weekend
Home,4/20/2020,83.8,Weekend
Home,4/27/2020,80.18,Weekend
Home,5/4/2020,80.47,Weekend
Work,2/3/2020,37.81,Weekday
Work,2/10/2020,38.42,Weekday
Work,2/17/2020,31.44,Weekday
Work,2/24/2020,39.73,Weekday
Work,3/2/2020,38.47,Weekday
Work,3/9/2020,35.74,Weekday
Work,3/16/2020,20.94,Weekday
Work,3/23/2020,14.4,Weekday
Work,3/30/2020,13.19,Weekday
Work,4/6/2020,12.39,Weekday
Work,4/13/2020,12.07,Weekday
Work,4/20/2020,13.74,Weekday
Work,4/27/2020,15.37,Weekday
Work,5/4/2020,16.22,Weekday
Work,2/3/2020,11.03,Weekend
Work,2/10/2020,10.9,Weekend
Work,2/17/2020,11.09,Weekend
Work,2/24/2020,10.74,Weekend
Work,3/2/2020,11.04,Weekend
Work,3/9/2020,9.55,Weekend
Work,3/16/2020,8.13,Weekend
Work,3/23/2020,6.7,Weekend
Work,3/30/2020,6.77,Weekend
Work,4/6/2020,6.34,Weekend
Work,4/13/2020,6.55,Weekend
Work,4/20/2020,7.14,Weekend
Work,4/27/2020,8.16,Weekend
Work,5/4/2020,8.1,Weekend
Other,2/3/2020,17.1,Weekday
Other,2/10/2020,17.82,Weekday
Other,2/17/2020,20.65,Weekday
Other,2/24/2020,18.36,Weekday
Other,3/2/2020,19.32,Weekday
Other,3/9/2020,17.66,Weekday
Other,3/16/2020,11.61,Weekday
Other,3/23/2020,7.83,Weekday
Other,3/30/2020,7.51,Weekday
Other,4/6/2020,7.27,Weekday
Other,4/13/2020,6.67,Weekday
Other,4/20/2020,7.8,Weekday
Other,4/27/2020,8.36,Weekday
Other,5/4/2020,8.63,Weekday
Other,2/3/2020,23.19,Weekend
Other,2/10/2020,25.77,Weekend
Other,2/17/2020,24.67,Weekend
Other,2/24/2020,24.51,Weekend
Other,3/2/2020,24.21,Weekend
Other,3/9/2020,17.87,Weekend
Other,3/16/2020,10.78,Weekend
Other,3/23/2020,7.37,Weekend
Other,3/30/2020,8.14,Weekend
Other,4/6/2020,7.69,Weekend
Other,4/13/2020,7.65,Weekend
Other,4/20/2020,9.06,Weekend
Other,4/27/2020,11.66,Weekend
Other,5/4/2020,11.44,Weekend
