GEOID,County,State,"Change in percent devices at home, midday"
34003052200,Bergen,NJ,19.31
34003053100,Bergen,NJ,24.53
34003053200,Bergen,NJ,26.48
34003054100,Bergen,NJ,18.06
34003054200,Bergen,NJ,16.35
34003054300,Bergen,NJ,18.06
34003054400,Bergen,NJ,16.78
34003054500,Bergen,NJ,15.76
34003054600,Bergen,NJ,20.79
34003055100,Bergen,NJ,24.51
34003055200,Bergen,NJ,27.74
34003056100,Bergen,NJ,22.89
34003056200,Bergen,NJ,23.85
34003057101,Bergen,NJ,19.45
34003057102,Bergen,NJ,15.19
34003057200,Bergen,NJ,19.68
34003058100,Bergen,NJ,20.53
34003058200,Bergen,NJ,21.4
34003059100,Bergen,NJ,19.88
34003059200,Bergen,NJ,22.66
34003060000,Bergen,NJ,21.57
34003061100,Bergen,NJ,20.24
34003061200,Bergen,NJ,25.51
34003061300,Bergen,NJ,26.65
34003061400,Bergen,NJ,24.09
34013000100,Essex,NJ,21.54
34013000200,Essex,NJ,10.4
34013000300,Essex,NJ,12.04
34013000400,Essex,NJ,13.58
34013000500,Essex,NJ,12.93
34013000600,Essex,NJ,17.56
34013000700,Essex,NJ,11.06
34013000800,Essex,NJ,13.67
34013000900,Essex,NJ,9.96
34013001000,Essex,NJ,13.21
34013001100,Essex,NJ,-9.1
34013001300,Essex,NJ,14.1
34013001400,Essex,NJ,6.31
34013001500,Essex,NJ,20.19
34013001600,Essex,NJ,15.16
34013001700,Essex,NJ,19.32
34013001800,Essex,NJ,12.39
34013001900,Essex,NJ,13.66
34013002000,Essex,NJ,12.69
34013002100,Essex,NJ,17.07
34013002201,Essex,NJ,12.46
34013002202,Essex,NJ,14.3
34013002300,Essex,NJ,11.1
34013002400,Essex,NJ,18.35
34013002500,Essex,NJ,7.93
34013002600,Essex,NJ,15.57
34013002800,Essex,NJ,22.14
34013003100,Essex,NJ,19.77
34013003500,Essex,NJ,15.94
34013003700,Essex,NJ,13.82
34013003800,Essex,NJ,7.82
34013003900,Essex,NJ,15.22
34013004100,Essex,NJ,15.79
34013004200,Essex,NJ,12.08
34013004300,Essex,NJ,13.04
34013004400,Essex,NJ,6.18
34013004500,Essex,NJ,16.92
34013004600,Essex,NJ,11.04
34013004700,Essex,NJ,18.34
34013004801,Essex,NJ,20.3
34013004802,Essex,NJ,18.97
34013004900,Essex,NJ,15.48
34013005000,Essex,NJ,16.3
34013005100,Essex,NJ,2.44
34013005200,Essex,NJ,15.4
34013005300,Essex,NJ,13.02
34013005400,Essex,NJ,13.96
34013005700,Essex,NJ,18.39
34013006200,Essex,NJ,-3.66
34013006400,Essex,NJ,25.23
34013006600,Essex,NJ,21.6
34013006700,Essex,NJ,12.58
34013006800,Essex,NJ,17.69
34013006900,Essex,NJ,20.38
34013007000,Essex,NJ,15.02
34013007100,Essex,NJ,17.98
34013007200,Essex,NJ,22.1
34013007300,Essex,NJ,17.01
34013007400,Essex,NJ,8.65
34013007501,Essex,NJ,11.3
34013007502,Essex,NJ,12.98
34013007600,Essex,NJ,16.24
34013007700,Essex,NJ,17.05
34013007800,Essex,NJ,20.44
34013007900,Essex,NJ,14.34
34013008000,Essex,NJ,15.55
34013008100,Essex,NJ,12.92
34013008200,Essex,NJ,2.92
34013008700,Essex,NJ,17.85
34013008800,Essex,NJ,19.94
34013008900,Essex,NJ,3.89
34013009000,Essex,NJ,17.56
34013009100,Essex,NJ,13.5
34013009200,Essex,NJ,11.4
34013009300,Essex,NJ,14.92
34013009400,Essex,NJ,13.33
34013009500,Essex,NJ,16.17
34013009600,Essex,NJ,15.34
34013009700,Essex,NJ,14.05
34013009900,Essex,NJ,13.06
34013010000,Essex,NJ,21.71
34013010100,Essex,NJ,13.76
34013010200,Essex,NJ,22.38
34013010300,Essex,NJ,15.56
34013010400,Essex,NJ,10.59
34013010500,Essex,NJ,12.41
34013010600,Essex,NJ,12.13
34013010700,Essex,NJ,12.1
34013010800,Essex,NJ,12.96
34013010900,Essex,NJ,16.31
34013011100,Essex,NJ,18.61
34013011200,Essex,NJ,14.34
34013011300,Essex,NJ,10.64
34013011400,Essex,NJ,9.73
34013011500,Essex,NJ,3.14
34013011600,Essex,NJ,12.4
34013011700,Essex,NJ,15.44
34013011800,Essex,NJ,11.59
34013011900,Essex,NJ,17.03
34013012000,Essex,NJ,10.38
34013012100,Essex,NJ,21.74
34013012200,Essex,NJ,18.97
34013012300,Essex,NJ,12.34
34013012400,Essex,NJ,17.89
34013012500,Essex,NJ,13.55
34013012600,Essex,NJ,13.35
34013012700,Essex,NJ,11.41
34013012800,Essex,NJ,8.11
34013012900,Essex,NJ,11.41
34013013000,Essex,NJ,12.41
34013013100,Essex,NJ,17.21
34013013200,Essex,NJ,13.57
34013013300,Essex,NJ,19.94
34013013400,Essex,NJ,23.32
34013013500,Essex,NJ,25.34
34013013600,Essex,NJ,19.89
34013013700,Essex,NJ,22.25
34013013800,Essex,NJ,19.91
34013013900,Essex,NJ,17.9
34013014000,Essex,NJ,17.4
34013014100,Essex,NJ,20.51
34013014200,Essex,NJ,27.36
34013014300,Essex,NJ,24.61
34013014400,Essex,NJ,22.78
34013014500,Essex,NJ,21.97
34013014600,Essex,NJ,18.26
34013014700,Essex,NJ,15.46
34013014800,Essex,NJ,22.95
34013014900,Essex,NJ,17.81
34013015000,Essex,NJ,20.14
34013015100,Essex,NJ,24.96
34013015200,Essex,NJ,13
34013015300,Essex,NJ,15.63
34013015400,Essex,NJ,12.86
34013015500,Essex,NJ,27.89
34013015600,Essex,NJ,16.05
34013015700,Essex,NJ,16.39
34013015800,Essex,NJ,22.31
34013015900,Essex,NJ,17.58
34013016000,Essex,NJ,23.14
34013016100,Essex,NJ,23.93
34013016200,Essex,NJ,23.07
34013016300,Essex,NJ,17.4
34013016400,Essex,NJ,24.22
34013016500,Essex,NJ,21.79
34013016600,Essex,NJ,6.85
34013016700,Essex,NJ,21.98
34013016800,Essex,NJ,20.09
34013016900,Essex,NJ,28.68
34013017000,Essex,NJ,19.57
34013017100,Essex,NJ,15.47
34013017200,Essex,NJ,16.06
34013017301,Essex,NJ,20.96
34013017302,Essex,NJ,23.01
34013017400,Essex,NJ,16.95
34013017500,Essex,NJ,24.2
34013017600,Essex,NJ,20
34013017700,Essex,NJ,22.04
34013017800,Essex,NJ,23.88
34013017900,Essex,NJ,21.37
34013018000,Essex,NJ,21.15
34013018100,Essex,NJ,14.53
34013018200,Essex,NJ,17.53
34013018300,Essex,NJ,12.23
34013018400,Essex,NJ,13.48
34013018600,Essex,NJ,14.89
34013018700,Essex,NJ,16.77
34013018800,Essex,NJ,21.42
34013018900,Essex,NJ,12.19
34013019000,Essex,NJ,26.71
34013019100,Essex,NJ,26.29
34013019200,Essex,NJ,-14.87
34013019300,Essex,NJ,15.52
34013019400,Essex,NJ,31.53
34013019500,Essex,NJ,23.69
34013019600,Essex,NJ,17.4
34013019700,Essex,NJ,22.65
34013019800,Essex,NJ,20.58
34013019900,Essex,NJ,25.97
34013020000,Essex,NJ,26.36
34013020100,Essex,NJ,30.48
34013020200,Essex,NJ,29.1
34013020300,Essex,NJ,24.64
34013020400,Essex,NJ,28.13
34013020500,Essex,NJ,27.02
34013020600,Essex,NJ,26.11
34013020700,Essex,NJ,19.39
34013020800,Essex,NJ,27.85
34013020901,Essex,NJ,23.55
34013020902,Essex,NJ,22.49
34013021000,Essex,NJ,23.08
34013021100,Essex,NJ,16.83
34013021200,Essex,NJ,26.11
34013021300,Essex,NJ,20.98
34013021400,Essex,NJ,22.44
34013021601,Essex,NJ,21.27
34013021602,Essex,NJ,25.15
34013021701,Essex,NJ,22.91
34013021702,Essex,NJ,26.35
34013021801,Essex,NJ,26.48
34013021802,Essex,NJ,20.9
34013021803,Essex,NJ,22.74
34013022700,Essex,NJ,15.34
34013022800,Essex,NJ,16.17
34013022900,Essex,NJ,10.19
34013023000,Essex,NJ,8.02
34013023100,Essex,NJ,9.02
34013023200,Essex,NJ,16.89
34013980100,Essex,NJ,21.22
34013980200,Essex,NJ,-2.89
34017000100,Hudson,NJ,14.6
34017000200,Hudson,NJ,14.96
34017000300,Hudson,NJ,12.53
34017000400,Hudson,NJ,10
34017000500,Hudson,NJ,18.01
34017000600,Hudson,NJ,18.28
34017000700,Hudson,NJ,18.23
34017000800,Hudson,NJ,19.54
34017000902,Hudson,NJ,9.18
34017001000,Hudson,NJ,18.05
34017001100,Hudson,NJ,13.39
34017001201,Hudson,NJ,13.91
34017001202,Hudson,NJ,15.43
34017001300,Hudson,NJ,11.72
34017001400,Hudson,NJ,13.38
34017001701,Hudson,NJ,17.09
34017001800,Hudson,NJ,14.18
34017001900,Hudson,NJ,13.21
34017002000,Hudson,NJ,14.23
34017002200,Hudson,NJ,13.64
34017002300,Hudson,NJ,-3.25
34017002400,Hudson,NJ,4.1
34017002700,Hudson,NJ,15.23
34017002800,Hudson,NJ,10.77
34017002900,Hudson,NJ,6.17
34017003000,Hudson,NJ,8.83
34017003100,Hudson,NJ,12.85
34017003500,Hudson,NJ,19.64
34017004000,Hudson,NJ,18.56
34017004101,Hudson,NJ,16.03
34017004102,Hudson,NJ,2.3
34017004200,Hudson,NJ,17.79
34017004300,Hudson,NJ,11.72
34017004400,Hudson,NJ,19.09
34017004500,Hudson,NJ,21.38
34017004600,Hudson,NJ,15.23
34017004700,Hudson,NJ,18.49
34017004800,Hudson,NJ,15.19
34017004900,Hudson,NJ,21.67
34017005200,Hudson,NJ,15.67
34017005300,Hudson,NJ,16.26
34017005400,Hudson,NJ,16.72
34017005500,Hudson,NJ,8.86
34017005600,Hudson,NJ,14.74
34017005801,Hudson,NJ,18.7
34017005802,Hudson,NJ,5.64
34017005900,Hudson,NJ,21.66
34017006000,Hudson,NJ,12.35
34017006100,Hudson,NJ,20.96
34017006200,Hudson,NJ,11.83
34017006300,Hudson,NJ,16.19
34017006400,Hudson,NJ,15.7
34017006500,Hudson,NJ,18.02
34017006600,Hudson,NJ,18.47
34017006700,Hudson,NJ,9.42
34017006800,Hudson,NJ,10.7
34017006900,Hudson,NJ,-7.92
34017007000,Hudson,NJ,14.08
34017007100,Hudson,NJ,10.15
34017007200,Hudson,NJ,1.04
34017007300,Hudson,NJ,9.78
34017007400,Hudson,NJ,7.63
34017007500,Hudson,NJ,13.01
34017007600,Hudson,NJ,5.65
34017007700,Hudson,NJ,9.55
34017007800,Hudson,NJ,7.61
34017010100,Hudson,NJ,16.18
34017010200,Hudson,NJ,18.13
34017010300,Hudson,NJ,16.13
34017010400,Hudson,NJ,-10.09
34017010500,Hudson,NJ,18.71
34017010600,Hudson,NJ,16.73
34017010700,Hudson,NJ,17.29
34017010800,Hudson,NJ,17.8
34017010900,Hudson,NJ,14.61
34017011000,Hudson,NJ,12.8
34017011100,Hudson,NJ,16.37
34017011200,Hudson,NJ,25.05
34017011300,Hudson,NJ,12.26
34017011400,Hudson,NJ,27.62
34017011500,Hudson,NJ,23.01
34017011600,Hudson,NJ,26.21
34017012300,Hudson,NJ,22.32
34017012400,Hudson,NJ,25.9
34017012500,Hudson,NJ,18.56
34017012600,Hudson,NJ,21.6
34017012700,Hudson,NJ,15.55
34017012800,Hudson,NJ,19.99
34017012900,Hudson,NJ,20.25
34017013000,Hudson,NJ,20.58
34017013100,Hudson,NJ,28.45
34017013200,Hudson,NJ,19.55
34017013300,Hudson,NJ,14.82
34017013400,Hudson,NJ,16.62
34017013500,Hudson,NJ,14.69
34017013600,Hudson,NJ,12.93
34017013700,Hudson,NJ,7.71
34017013800,Hudson,NJ,13.59
34017013900,Hudson,NJ,18.15
34017014000,Hudson,NJ,30.96
34017014101,Hudson,NJ,18.31
34017014102,Hudson,NJ,26
34017014200,Hudson,NJ,15.61
34017014300,Hudson,NJ,19.57
34017014400,Hudson,NJ,21.37
34017014501,Hudson,NJ,19.81
34017014502,Hudson,NJ,20.17
34017014600,Hudson,NJ,9.83
34017014700,Hudson,NJ,21.38
34017014800,Hudson,NJ,12.31
34017014900,Hudson,NJ,23.38
34017015001,Hudson,NJ,18.99
34017015002,Hudson,NJ,15.81
34017015100,Hudson,NJ,22.35
34017015201,Hudson,NJ,24.95
34017015202,Hudson,NJ,17.21
34017015300,Hudson,NJ,17.81
34017015500,Hudson,NJ,19.14
34017015600,Hudson,NJ,16.83
34017015700,Hudson,NJ,11.08
34017015801,Hudson,NJ,19.7
34017015802,Hudson,NJ,14.98
34017015900,Hudson,NJ,23.79
34017016000,Hudson,NJ,16.57
34017016100,Hudson,NJ,20.75
34017016200,Hudson,NJ,16.13
34017016300,Hudson,NJ,20.25
34017016400,Hudson,NJ,12.65
34017016500,Hudson,NJ,15.45
34017016600,Hudson,NJ,16.72
34017016700,Hudson,NJ,28.36
34017016800,Hudson,NJ,6.92
34017016900,Hudson,NJ,26.37
34017017000,Hudson,NJ,20.6
34017017100,Hudson,NJ,23.35
34017017200,Hudson,NJ,19.69
34017017300,Hudson,NJ,21.14
34017017400,Hudson,NJ,18.9
34017017500,Hudson,NJ,14.34
34017017600,Hudson,NJ,2.98
34017017700,Hudson,NJ,11.25
34017017800,Hudson,NJ,19.74
34017017900,Hudson,NJ,16.28
34017018000,Hudson,NJ,21.96
34017018100,Hudson,NJ,15.84
34017018200,Hudson,NJ,23.41
34017018301,Hudson,NJ,-9.16
34017018302,Hudson,NJ,4.85
34017018400,Hudson,NJ,13.48
34017018500,Hudson,NJ,-7.45
34017018600,Hudson,NJ,2.51
34017018701,Hudson,NJ,-30.84
34017018702,Hudson,NJ,9.46
34017018800,Hudson,NJ,1.46
34017018900,Hudson,NJ,10.64
34017019000,Hudson,NJ,12.02
34017019100,Hudson,NJ,2.57
34017019200,Hudson,NJ,6.59
34017019300,Hudson,NJ,9.44
34017019400,Hudson,NJ,6.27
34017019800,Hudson,NJ,20.85
34017019900,Hudson,NJ,24.14
34017020000,Hudson,NJ,15.13
34017020100,Hudson,NJ,18.52
34017032400,Hudson,NJ,14.72
34017980100,Hudson,NJ,-0.81
34019010100,Hunterdon,NJ,15.76
34019010200,Hunterdon,NJ,17.23
34019010300,Hunterdon,NJ,25.17
34019010400,Hunterdon,NJ,19.26
34019010500,Hunterdon,NJ,21
34019010600,Hunterdon,NJ,24.06
34019010701,Hunterdon,NJ,21.28
34019010702,Hunterdon,NJ,19.13
34019010801,Hunterdon,NJ,18.1
34019010802,Hunterdon,NJ,25.12
34019010900,Hunterdon,NJ,25.02
34019011001,Hunterdon,NJ,20.18
34019011002,Hunterdon,NJ,21.21
34019011100,Hunterdon,NJ,20.82
34019011201,Hunterdon,NJ,22.28
34019011202,Hunterdon,NJ,27.34
34019011301,Hunterdon,NJ,25.02
34019011302,Hunterdon,NJ,22.06
34019011303,Hunterdon,NJ,26.55
34019011304,Hunterdon,NJ,20.3
34019011400,Hunterdon,NJ,14.17
34019011500,Hunterdon,NJ,17.8
34019011600,Hunterdon,NJ,22.42
34019011700,Hunterdon,NJ,23.58
34019011800,Hunterdon,NJ,16.41
34019011900,Hunterdon,NJ,17.34
34023000100,Middlesex,NJ,19.3
34023000200,Middlesex,NJ,16.83
34023000300,Middlesex,NJ,17.7
34023000401,Middlesex,NJ,20.48
34023000403,Middlesex,NJ,19.66
34023000404,Middlesex,NJ,20.79
34023000501,Middlesex,NJ,23.44
34023000502,Middlesex,NJ,16.64
34023000603,Middlesex,NJ,23.79
34023000606,Middlesex,NJ,19.55
34023000608,Middlesex,NJ,14.52
34023000701,Middlesex,NJ,20.36
34023000702,Middlesex,NJ,20.4
34023000801,Middlesex,NJ,22.92
34023000802,Middlesex,NJ,23.76
34023000901,Middlesex,NJ,19.45
34023000902,Middlesex,NJ,23.99
34023001001,Middlesex,NJ,20.37
34023001002,Middlesex,NJ,15.84
34023001100,Middlesex,NJ,19
34023001200,Middlesex,NJ,18.58
34023001300,Middlesex,NJ,18.41
34023001409,Middlesex,NJ,18.6
34023001410,Middlesex,NJ,18.2
34023001411,Middlesex,NJ,18.88
