GEOID,County,Day type,"Change in percent devices at home, midday"
34003049001,Bergen,Weekday,44.19
34003049002,Bergen,Weekday,37.81
34003050000,Bergen,Weekday,35.65
34003051100,Bergen,Weekday,34.23
34003051200,Bergen,Weekday,44.08
34003051300,Bergen,Weekday,39.92
34003051400,Bergen,Weekday,39.53
34003052100,Bergen,Weekday,29.98
34003052200,Bergen,Weekday,34.44
34003053100,Bergen,Weekday,39.83
34003053200,Bergen,Weekday,42.22
34003054100,Bergen,Weekday,37.87
34003054200,Bergen,Weekday,32.96
34003054300,Bergen,Weekday,43.61
34003054400,Bergen,Weekday,31.14
34003054500,Bergen,Weekday,39.2
34003054600,Bergen,Weekday,37.09
34003055100,Bergen,Weekday,44.85
34003055200,Bergen,Weekday,44.24
34003056100,Bergen,Weekday,46.33
34003056200,Bergen,Weekday,39.26
34003057101,Bergen,Weekday,28.33
34003057102,Bergen,Weekday,29.02
34003057200,Bergen,Weekday,24.44
34003058100,Bergen,Weekday,35.14
34003058200,Bergen,Weekday,41.77
34003059100,Bergen,Weekday,31.96
34003059200,Bergen,Weekday,40.17
34003060000,Bergen,Weekday,40.01
34003061100,Bergen,Weekday,42.93
34003061200,Bergen,Weekday,44.94
34003061300,Bergen,Weekday,44.11
34003061400,Bergen,Weekday,44.52
34013000100,Essex,Weekday,29.08
34013000200,Essex,Weekday,24.26
34013000300,Essex,Weekday,17.23
34013000400,Essex,Weekday,20.98
34013000500,Essex,Weekday,35.08
34013000600,Essex,Weekday,26.18
34013000700,Essex,Weekday,22.05
34013000800,Essex,Weekday,22.06
34013000900,Essex,Weekday,23.8
34013001000,Essex,Weekday,18.09
34013001100,Essex,Weekday,-8.92
34013001300,Essex,Weekday,23.74
34013001400,Essex,Weekday,11.34
34013001500,Essex,Weekday,15.43
34013001600,Essex,Weekday,19.04
34013001700,Essex,Weekday,23.24
34013001800,Essex,Weekday,24.62
34013001900,Essex,Weekday,19.8
34013002000,Essex,Weekday,20.39
