FROM,TO,TRIPS
St Petersburg,Citrus,0
St Petersburg,Clearwater,28995.62
St Petersburg,External,6406.57
St Petersburg,Hernando Other,0
St Petersburg,Hillsborough Other,21254.54
St Petersburg,Manatee Spur,0
St Petersburg,New Port Richey,0
St Petersburg,Pasco Other,729.9
St Petersburg,Pinellas Beaches,6770.26
St Petersburg,Pinellas Other,171982.6
St Petersburg,Plant City,0
St Petersburg,Spring Hill,902.8
St Petersburg,St Petersburg,557897.71
St Petersburg,Tampa,23730.48
St Petersburg,USF  Hosp  Busch,9661.97
Tampa,Citrus,37.83
Tampa,Clearwater,15445.77
Tampa,External,34102.85
Tampa,Hernando Other,1067.33
Tampa,Hillsborough Other,398067.76
Tampa,Manatee Spur,292.5
Tampa,New Port Richey,1415.3
Tampa,Pasco Other,69833.18
Tampa,Pinellas Beaches,3574.23
Tampa,Pinellas Other,36366.94
Tampa,Plant City,1682.38
Tampa,Spring Hill,64.23
Tampa,St Petersburg,27310.63
Tampa,Tampa,1235027.79
Tampa,USF  Hosp  Busch,69656.22
USF  Hosp  Busch,Citrus,3508.02
USF  Hosp  Busch,Clearwater,397.65
USF  Hosp  Busch,External,151
USF  Hosp  Busch,Hernando Other,0
USF  Hosp  Busch,Hillsborough Other,61041.74
USF  Hosp  Busch,Manatee Spur,0
USF  Hosp  Busch,New Port Richey,0
USF  Hosp  Busch,Pasco Other,5100.9
USF  Hosp  Busch,Pinellas Beaches,0
USF  Hosp  Busch,Pinellas Other,6512.02
USF  Hosp  Busch,Plant City,0
USF  Hosp  Busch,Spring Hill,23
USF  Hosp  Busch,St Petersburg,2624.71
USF  Hosp  Busch,Tampa,88059.52
USF  Hosp  Busch,USF  Hosp  Busch,153537.85
