FROM,TO,TRIPS
Inverness and NE Citrus,South Central Hernando,0
Inverness and NE Citrus,South East Citrus,15867.3
Inverness and NE Citrus,Spring Hill and SW Hernando,0
Lake Lindsey  N. Central Hernando,Brooksville Area,709.84
Lake Lindsey  N. Central Hernando,Croom WMA  NE Hernando,0
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,0
Lake Lindsey  N. Central Hernando,External,0
Lake Lindsey  N. Central Hernando,Hillsborough  Manatee Spur,0
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,0
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,0
Lake Lindsey  N. Central Hernando,Lake Lindsey  N. Central Hernando,213.82
Lake Lindsey  N. Central Hernando,NW Hernando,0
Lake Lindsey  N. Central Hernando,North Central Citrus,0
Lake Lindsey  N. Central Hernando,Pasco,0
Lake Lindsey  N. Central Hernando,Pinellas,0
Lake Lindsey  N. Central Hernando,Richloam WMA and E Hernando,0
Lake Lindsey  N. Central Hernando,South Central Hernando,0
Lake Lindsey  N. Central Hernando,South East Citrus,0
Lake Lindsey  N. Central Hernando,Spring Hill and SW Hernando,7468.52
NW Hernando,Brooksville Area,66.85
NW Hernando,Croom WMA  NE Hernando,0
NW Hernando,Crystal River and NW Citrus,0
NW Hernando,External,0
NW Hernando,Hillsborough  Manatee Spur,278.03
NW Hernando,Homosassa Springs  SW Citrus,0
NW Hernando,Inverness and NE Citrus,0
NW Hernando,Lake Lindsey  N. Central Hernando,0
NW Hernando,NW Hernando,2832.81
NW Hernando,North Central Citrus,0
NW Hernando,Pasco,0
NW Hernando,Pinellas,84.02
NW Hernando,Richloam WMA and E Hernando,0
NW Hernando,South Central Hernando,0
NW Hernando,South East Citrus,0
NW Hernando,Spring Hill and SW Hernando,16199.29
North Central Citrus,Brooksville Area,0
North Central Citrus,Croom WMA  NE Hernando,0
North Central Citrus,Crystal River and NW Citrus,33215.19
North Central Citrus,External,4761.66
North Central Citrus,Hillsborough  Manatee Spur,138.91
North Central Citrus,Homosassa Springs  SW Citrus,14166.35
North Central Citrus,Inverness and NE Citrus,24686.92
North Central Citrus,Lake Lindsey  N. Central Hernando,0
North Central Citrus,NW Hernando,0
North Central Citrus,North Central Citrus,101735.04
North Central Citrus,Pasco,0
North Central Citrus,Pinellas,0
North Central Citrus,Richloam WMA and E Hernando,0
North Central Citrus,South Central Hernando,0
North Central Citrus,South East Citrus,9063.66
North Central Citrus,Spring Hill and SW Hernando,346.61
Pasco,Brooksville Area,4221.85
Pasco,Croom WMA  NE Hernando,0
Pasco,Crystal River and NW Citrus,2454.06
Pasco,External,0
Pasco,Hillsborough  Manatee Spur,0
Pasco,Homosassa Springs  SW Citrus,1.19
Pasco,Inverness and NE Citrus,0
Pasco,Lake Lindsey  N. Central Hernando,0
Pasco,NW Hernando,0
Pasco,North Central Citrus,0
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Richloam WMA and E Hernando,2928.89
Pasco,South Central Hernando,6431.1
Pasco,South East Citrus,0
Pasco,Spring Hill and SW Hernando,28427.9
Pinellas,Brooksville Area,118.4
Pinellas,Croom WMA  NE Hernando,98.27
Pinellas,Crystal River and NW Citrus,0
Pinellas,External,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Homosassa Springs  SW Citrus,513.08
Pinellas,Inverness and NE Citrus,0
Pinellas,Lake Lindsey  N. Central Hernando,0
Pinellas,NW Hernando,0
Pinellas,North Central Citrus,0
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Richloam WMA and E Hernando,0
Pinellas,South Central Hernando,0
Pinellas,South East Citrus,0
Pinellas,Spring Hill and SW Hernando,1474.61
Richloam WMA and E Hernando,Brooksville Area,53.1
Richloam WMA and E Hernando,Croom WMA  NE Hernando,0
Richloam WMA and E Hernando,Crystal River and NW Citrus,0
Richloam WMA and E Hernando,External,133.29
Richloam WMA and E Hernando,Hillsborough  Manatee Spur,2322.9
Richloam WMA and E Hernando,Homosassa Springs  SW Citrus,0
Richloam WMA and E Hernando,Inverness and NE Citrus,0
Richloam WMA and E Hernando,Lake Lindsey  N. Central Hernando,0
Richloam WMA and E Hernando,NW Hernando,0
Richloam WMA and E Hernando,North Central Citrus,0
Richloam WMA and E Hernando,Pasco,3632.23
Richloam WMA and E Hernando,Pinellas,0
Richloam WMA and E Hernando,Richloam WMA and E Hernando,8078.61
Richloam WMA and E Hernando,South Central Hernando,40.25
Richloam WMA and E Hernando,South East Citrus,0
Richloam WMA and E Hernando,Spring Hill and SW Hernando,98.32
South Central Hernando,Brooksville Area,5446.06
South Central Hernando,Croom WMA  NE Hernando,0
South Central Hernando,Crystal River and NW Citrus,153.34
South Central Hernando,External,142.89
South Central Hernando,Hillsborough  Manatee Spur,2549.39
South Central Hernando,Homosassa Springs  SW Citrus,98.31
South Central Hernando,Inverness and NE Citrus,0
South Central Hernando,Lake Lindsey  N. Central Hernando,0
South Central Hernando,NW Hernando,756.88
South Central Hernando,North Central Citrus,0
South Central Hernando,Pasco,3722.11
South Central Hernando,Pinellas,0
South Central Hernando,Richloam WMA and E Hernando,40.25
South Central Hernando,South Central Hernando,3394.55
South Central Hernando,South East Citrus,0
South Central Hernando,Spring Hill and SW Hernando,7600.78
South East Citrus,Brooksville Area,0
South East Citrus,Croom WMA  NE Hernando,0
South East Citrus,Crystal River and NW Citrus,3650.51
South East Citrus,External,626.04
South East Citrus,Hillsborough  Manatee Spur,4046.12
South East Citrus,Homosassa Springs  SW Citrus,39.53
South East Citrus,Inverness and NE Citrus,20547.54
South East Citrus,Lake Lindsey  N. Central Hernando,0
South East Citrus,NW Hernando,0
South East Citrus,North Central Citrus,7327.95
South East Citrus,Pasco,0
South East Citrus,Pinellas,0
South East Citrus,Richloam WMA and E Hernando,0
South East Citrus,South Central Hernando,0
South East Citrus,South East Citrus,10996.32
South East Citrus,Spring Hill and SW Hernando,0
Spring Hill and SW Hernando,Brooksville Area,20774.86
Spring Hill and SW Hernando,Croom WMA  NE Hernando,102.16
Spring Hill and SW Hernando,Crystal River and NW Citrus,820.62
Spring Hill and SW Hernando,External,1214.17
Spring Hill and SW Hernando,Hillsborough  Manatee Spur,4799.67
Spring Hill and SW Hernando,Homosassa Springs  SW Citrus,3277.3
Spring Hill and SW Hernando,Inverness and NE Citrus,0
Spring Hill and SW Hernando,Lake Lindsey  N. Central Hernando,4478.18
Spring Hill and SW Hernando,NW Hernando,13897.41
Spring Hill and SW Hernando,North Central Citrus,346.61
Spring Hill and SW Hernando,Pasco,25673.45
Spring Hill and SW Hernando,Pinellas,2404.25
Spring Hill and SW Hernando,Richloam WMA and E Hernando,138.96
Spring Hill and SW Hernando,South Central Hernando,8938.35
Spring Hill and SW Hernando,South East Citrus,0
Spring Hill and SW Hernando,Spring Hill and SW Hernando,229276.4
