ZONE,MODE,TRIPS
642,AUTO,894.42
643,AUTO,206.33
644,AUTO,5119.85
644,TNC,11.98
644,TRANSIT,53.04
644,WALK,415.45
645,AUTO,1557.12
645,TRANSIT,18.32
645,WALK,308.32
646,AUTO,19749.62
646,BIKE,420
646,LONG DIST PASS,9635.65
646,SHUTTLE VANPOOL,149.75
646,WALK,2460.25
647,AUTO,3578.23
647,WALK,431.47
648,AUTO,2682.07
648,BIKE,3231.48
648,WALK,1462.29
649,AUTO,7719.14
649,BIKE,1493.1
649,WALK,1026.92
650,AUTO,3210.25
650,SCHOOL BUS,80.38
650,WALK,208.74
651,AUTO,758.58
652,AUTO,8.06
653,AUTO,36.57
654,AUTO,32.26
655,AUTO,1015.46
656,AUTO,482.85
656,TNC,140.13
657,AUTO,1882.74
657,TRANSIT,537.93
658,AUTO,13119.3
659,AUTO,271.93
659,TRANSIT,523.39
660,AUTO,1155.93
663,AUTO,999.29
664,AUTO,615.25
665,AUTO,1609.55
665,WALK,197.28
666,AUTO,562.85
666,TNC,56.16
667,AUTO,239.89
668,AUTO,4106.36
668,TRANSIT,150.4
669,AUTO,8832.36
669,WALK,3106.02
670,AUTO,92.1
671,AUTO,1443.26
672,AUTO,243.16
673,AUTO,139.1
674,AUTO,1185.47
675,AUTO,12783.46
676,AUTO,15350
676,BIKE,32.12
676,WALK,73.53
677,AUTO,400.93
678,AUTO,180.34
679,AUTO,11512.91
680,AUTO,295.82
680,WALK,158.1
681,AUTO,30686.5
682,AUTO,3684.25
683,AUTO,782.76
684,AUTO,19500.3
684,SHUTTLE VANPOOL,98.51
685,AUTO,108.12
687,AUTO,149.75
688,AUTO,118.16
688,TRANSIT,63.2
689,AUTO,7811.06
690,AUTO,7541.8
690,WALK,3173.46
691,AUTO,3912.71
692,AUTO,895.91
692,WALK,230.95
693,AUTO,7744.22
693,SCHOOL BUS,159.91
694,AUTO,30031.4
694,SCHOOL BUS,1874.44
695,AUTO,1904.09
696,AUTO,3597.33
696,WALK,154.94
697,AUTO,1632.88
698,AUTO,9952.76
699,AUTO,9437.85
699,WALK,70.82
700,AUTO,602.38
701,AUTO,22888.8
702,AUTO,13798.38
703,AUTO,7202.04
704,AUTO,5131.02
704,WALK,24.15
705,AUTO,5026.41
705,WALK,63.2
706,AUTO,504.25
707,AUTO,1033.72
708,AUTO,6545.03
708,WALK,3.09
709,AUTO,4211.77
710,AUTO,2411.87
710,OTHER,79.89
711,AUTO,18910.29
712,AUTO,14051.11
712,OTHER,19.32
712,WALK,1697.53
713,AUTO,4594.1
713,SCHOOL BUS,79.05
713,WALK,100.29
714,AUTO,10165.84
715,AUTO,9735.8
716,AUTO,720.48
717,AUTO,18.29
718,AUTO,45.18
719,AUTO,6842.61
719,WALK,427.73
720,AUTO,17187.4
721,AUTO,109.47
722,AUTO,15809.63
722,TRANSIT,63.2
723,AUTO,13893.1
723,WALK,200.12
724,AUTO,11311.42
724,WALK,38.14
725,AUTO,5390.4
725,SCHOOL BUS,1874.44
726,AUTO,15895.23
726,WALK,2586.67
727,AUTO,10275.36
728,AUTO,3487.7
728,WALK,353.32
729,AUTO,108.53
730,AUTO,138.95
731,AUTO,471.53
732,AUTO,5885.97
732,WALK,1167.52
733,AUTO,12877.03
733,WALK,596.53
734,AUTO,11171.39
734,TNC,99.15
734,TRANSIT,79.05
734,WALK,896.6
735,AUTO,21892.57
735,WALK,42.66
736,AUTO,9664.78
737,AUTO,4926.55
737,WALK,427.62
738,AUTO,10231.92
739,AUTO,8643.44
740,AUTO,11014.12
741,AUTO,14370.79
741,TRANSIT,3.09
741,WALK,1185.52
742,AUTO,839.45
742,BIKE,231.61
742,WALK,115.8
743,AUTO,19085.68
743,BIKE,231.61
744,AUTO,38833.2
744,OTHER,418.35
744,WALK,238.96
745,AUTO,2074.09
745,WALK,115.8
746,AUTO,1077.57
747,AUTO,45.66
748,AUTO,5579.42
749,AUTO,13554.33
750,AUTO,11394.74
750,WALK,115.5
751,AUTO,347.5
752,AUTO,586.24
752,WALK,517.3
753,AUTO,394.02
754,AUTO,25474.54
754,TRANSIT,1871.86
754,WALK,353.47
757,SHUTTLE VANPOOL,1.18
758,AUTO,33.24
760,AUTO,5663.21
760,TRANSIT,359.44
760,WALK,205.35
761,AUTO,14981.25
761,TRANSIT,79.05
761,WALK,2482.8
762,AUTO,7041.07
763,AUTO,10951.25
763,SCHOOL BUS,624.83
763,WALK,3105.47
764,AUTO,1449.87
764,WALK,701.29
765,AUTO,6023.03
766,AUTO,42916.52
766,SCHOOL BUS,114.16
766,WALK,984.77
767,AUTO,11153.46
767,SCHOOL BUS,114.16
767,WALK,161.38
768,AUTO,6859.22
769,AUTO,797.15
770,AUTO,26689.79
770,TNC,98.32
770,WALK,119.95
771,AUTO,5741.92
771,WALK,100.29
772,AUTO,8601.21
772,TRANSIT,57.49
772,WALK,153.12
773,AUTO,41133.81
773,SCHOOL BUS,710.33
773,TAXI NOT TNC,149.8
773,WALK,22862.92
774,AUTO,4822.34
775,AUTO,14786.04
775,TRANSIT,1871.86
775,WALK,3743.73
778,AUTO,335.76
779,AUTO,335.76
780,AUTO,1069.22
780,WALK,328.97
781,AUTO,19772.89
781,TAXI NOT TNC,115.52
781,WALK,127.28
783,AUTO,3018.17
785,AUTO,2075.17
786,AUTO,6085.53
786,BIKE,356.73
786,SHUTTLE VANPOOL,5772.69
787,AUTO,7578.05
788,AUTO,164.84
789,AUTO,4743.03
791,AUTO,7102.58
791,BIKE,356.73
791,WALK,98.85
792,AUTO,6191.7
792,WALK,116.29
793,AUTO,32583.66
793,SCHOOL BUS,1875.56
793,SHUTTLE VANPOOL,1924.23
793,WALK,3751.11
794,AUTO,3081.39
794,SCHOOL BUS,1875.56
794,SHUTTLE VANPOOL,3848.46
794,TRANSIT,696.07
794,WALK,205.53
795,AUTO,14808.05
795,WALK,5345.29
796,AUTO,264.47
797,AUTO,482.63
798,AUTO,1815.62
798,WALK,32.34
799,AUTO,3253.45
800,AUTO,910.44
800,WALK,405.34
801,AUTO,5263.88
802,AUTO,17768.05
802,SCHOOL BUS,1946.98
803,AUTO,4931.05
803,CAR SHARE,641.42
805,AUTO,10874.52
806,AUTO,1667.58
807,AUTO,29967.31
807,WALK,16504.12
808,AUTO,1584.34
809,AUTO,7740.85
810,AUTO,6846.1
811,AUTO,10929.96
811,WALK,1288.81
812,AUTO,12914.9
812,SCHOOL BUS,1984.28
812,WALK,23191.55
813,AUTO,2585.73
813,BIKE,641.42
813,WALK,114.55
814,AUTO,14368.24
814,BIKE,641.42
814,WALK,533.28
815,AUTO,2488.11
816,AUTO,729.69
817,AUTO,19467.48
817,WALK,394.05
818,AUTO,5943.44
818,SCHOOL BUS,32.11
818,WALK,199.99
819,AUTO,14466.96
819,SCHOOL BUS,1.18
819,SHUTTLE VANPOOL,1.18
820,AUTO,187.85
821,AUTO,5068.79
822,AUTO,6338.54
822,SCHOOL BUS,583.61
823,AUTO,7320.08
824,AUTO,9626.04
824,BIKE SHARE,63.2
824,WALK,13101.97
825,AUTO,2578.29
825,TRANSIT,221.79
825,WALK,114.5
826,AUTO,13699.44
826,SCHOOL BUS,1576.58
826,WALK,4239.74
827,AUTO,38.91
828,AUTO,56043.69
828,BIKE,6958.4
828,WALK,5174.79
829,AUTO,283.36
830,AUTO,1210.1
831,AUTO,213.08
832,AUTO,24651.4
832,OTHER,13.9
832,WALK,6550.98
833,AUTO,8334.31
833,WALK,78.44
834,AUTO,4121.99
834,BIKE,5113.08
834,SCHOOL BUS,1576.58
834,WALK,166.88
835,AUTO,42524.05
836,AUTO,194.29
837,AUTO,3605.64
839,AUTO,9818.9
839,BIKE,685.62
839,OTHER,26.35
839,WALK,685.62
840,AUTO,485.75
844,AUTO,1720.48
845,AUTO,229.23
846,AUTO,1794.9
847,AUTO,694.51
848,AUTO,11168.11
848,BIKE,1721.69
848,WALK,156.52
849,AUTO,2634.54
849,BIKE,0.84
850,AUTO,3123.75
851,AUTO,3700.04
852,AUTO,624.59
853,AUTO,1197.25
854,AUTO,75.1
855,AUTO,1606.37
855,SCHOOL BUS,320.99
855,TRANSIT,110.89
855,WALK,53.42
856,AUTO,2454.56
856,WALK,151.75
857,AUTO,771.02
857,BIKE,433.6
857,OTHER,348.04
858,AUTO,25083.18
858,OTHER,709.17
859,AUTO,19653.15
859,BIKE,23.55
859,OTHER,5115.7
859,WALK,2077.28
860,AUTO,9468.62
860,BIKE,1289.58
860,OTHER,6438.93
860,WALK,4522.18
861,AUTO,15567.74
861,BIKE,1224.56
861,OTHER,1238.23
861,TRANSIT,1044.19
861,WALK,3117.56
862,AUTO,3011.76
863,AUTO,2357.71
864,AUTO,25377.17
864,OTHER,628.85
864,WALK,239.33
865,AUTO,5756.18
866,AUTO,13.9
867,AUTO,3468.83
868,AUTO,2455.55
869,OTHER,203.21
870,AUTO,3118.37
870,WALK,208.33
871,AUTO,22233.62
871,OTHER,1073.66
871,TRANSIT,2665.91
871,WALK,1891.66
872,AUTO,4618.69
872,OTHER,5008.79
872,WALK,232.27
873,AUTO,10078.3
873,BIKE,229.43
873,OTHER,870.94
873,TRANSIT,203.21
873,WALK,2307.63
874,AUTO,4497.75
874,BIKE,229.43
874,OTHER,2668.26
874,WALK,597.04
875,AUTO,5926.45
875,OTHER,396.24
875,WALK,431.5
876,AUTO,891.71
876,OTHER,115.85
876,SCHOOL BUS,159.91
877,AUTO,564.44
877,WALK,2917.24
878,AUTO,626.28
879,AUTO,267.57
880,AUTO,315.68
881,AUTO,3742.74
881,OTHER,150.23
882,AUTO,474.6
883,AUTO,1932.39
883,SCHOOL BUS,159.91
884,AUTO,70.45
884,WALK,70.45
1001,AUTO,1573.46
1001,SCHOOL BUS,153.21
1003,AUTO,1419.31
1004,AUTO,800.68
1006,AUTO,19516.71
1006,WALK,1.28
1007,AUTO,3778.5
1007,WALK,294.39
1008,AUTO,278.79
1009,AUTO,8597.67
1009,BIKE,303.77
1010,AUTO,5094.86
1010,OTHER,2886.88
1011,AUTO,2620.69
1013,AUTO,115.75
1014,AUTO,7040.02
1014,BIKE,82.22
1014,SCHOOL BUS,153.21
1014,WALK,246.65
1015,AUTO,816.15
1016,AUTO,1219.05
1017,AUTO,357.95
1018,AUTO,5619.36
1018,WALK,126.84
1019,AUTO,5319.56
1019,WALK,217.2
1020,AUTO,976.94
1021,AUTO,3670.48
1021,WALK,534.26
1022,AUTO,381.01
1022,TRANSIT,55.72
1023,AUTO,3512.87
1024,AUTO,7211.39
1025,AUTO,3320.39
1025,BIKE,118.58
1025,WALK,452.88
1026,AUTO,1345.17
1026,WALK,2042.58
1027,AUTO,700.01
1028,AUTO,2347
1029,AUTO,589.64
1030,AUTO,1030.37
1030,SCHOOL BUS,247.05
1030,WALK,82.35
1031,AUTO,8260.33
1031,WALK,9.54
1032,AUTO,196.55
1033,AUTO,2473.5
1033,TAXI NOT TNC,104.93
1033,WALK,760.62
1034,AUTO,5878.39
1034,BIKE,303.77
1034,WALK,197.24
1035,AUTO,38403.08
1035,SCHOOL BUS,175.25
1035,WALK,2636.85
1036,AUTO,6103.15
1036,BIKE,199.13
1036,WALK,1002
1037,AUTO,8028.25
1038,AUTO,61.82
1039,AUTO,7318.72
1039,WALK,657.3
1040,AUTO,2163.96
1041,AUTO,10216.07
1041,WALK,102.51
1042,AUTO,10438.32
1042,WALK,32.56
1043,AUTO,3732.87
1044,AUTO,120.45
1045,AUTO,3227.7
1046,AUTO,8033.87
1046,WALK,5466.94
1047,AUTO,247.7
1047,WALK,99.86
1048,BIKE,39.53
1049,AUTO,4508.56
1049,WALK,3361.24
1050,AUTO,776.74
1051,AUTO,16959.28
1051,WALK,228.62
1052,AUTO,903.54
1052,BIKE,108.79
1052,WALK,228.62
1053,AUTO,14919.98
1053,SCHOOL BUS,306.42
1054,AUTO,4717.87
1055,AUTO,5242.55
1056,AUTO,9862.82
1056,OTHER,1913.24
1057,AUTO,8579.54
1057,OTHER,1913.24
1057,SHUTTLE VANPOOL,85.03
1058,AUTO,6770.06
1058,BIKE,1199.84
1058,WALK,801.46
1059,AUTO,2934.93
1060,AUTO,9292.48
1060,SCHOOL BUS,2.49
1060,WALK,98.6
1061,AUTO,7698.99
1062,AUTO,1038.7
1062,OTHER,98.27
1062,WALK,626.41
1063,AUTO,4679.61
1064,AUTO,3198.76
1065,AUTO,7333.5
1065,TRANSIT,1011.7
1065,WALK,2279.78
1066,AUTO,1270.91
1066,WALK,1648.56
1067,AUTO,347.16
1068,AUTO,2119.14
1069,AUTO,2585.02
1069,WALK,239.06
1070,AUTO,17144.82
1071,AUTO,11833.53
1072,AUTO,7676.12
1072,WALK,3145.19
1073,AUTO,6809.4
1074,AUTO,3522.72
1075,AUTO,21082.3
1076,AUTO,2536.62
1076,TRANSIT,606.67
1076,WALK,4944.22
1077,AUTO,643.38
1078,AUTO,1292.92
1078,WALK,1284.23
1079,AUTO,4611.78
1080,AUTO,11129.48
1080,BIKE,145.16
1080,WALK,3648.26
1081,AUTO,6936.63
1081,OTHER,152.61
1082,AUTO,1441.35
1082,BIKE,88.22
1083,AUTO,46
1084,AUTO,693.71
1085,AUTO,23884.07
1085,OTHER,25385.27
1085,WALK,4823.74
1086,AUTO,792.8
1087,AUTO,11734.46
1087,BIKE,158.85
1087,WALK,4585.6
1088,AUTO,12949.09
1088,WALK,4099.99
1089,AUTO,10323.03
1089,BIKE,79.15
1090,AUTO,6352.36
1091,AUTO,21142.14
1091,WALK,788.12
1092,AUTO,9715.09
1093,AUTO,3760.81
1093,BIKE,164.43
1093,TRANSIT,55.72
1093,WALK,569.93
1094,AUTO,246.91
1094,TRANSIT,24.4
1095,AUTO,26570.5
1095,WALK,775.62
1096,TRANSIT,125.15
1097,AUTO,4843.43
1097,WALK,669.7
1098,AUTO,6418.64
1098,WALK,230.03
1099,AUTO,34715.53
1099,TRANSIT,106.51
1099,WALK,404.34
1100,AUTO,1215.57
1100,LONG DIST PASS,712.87
1100,WALK,589.35
1101,AUTO,4254.84
1101,WALK,397.17
1102,AUTO,7055.88
1102,SCHOOL BUS,164.7
1103,AUTO,1956.36
1103,TNC,238.05
1104,AUTO,458.14
1104,WALK,357.99
1105,AUTO,8323.56
1105,WALK,2714.27
1106,AUTO,8076.65
1106,WALK,399.14
1107,AUTO,6829.64
1107,WALK,300.47
1108,AUTO,340.36
1108,BIKE,51.15
1109,AUTO,4945.53
1109,WALK,2.22
1110,AUTO,2363.2
1110,WALK,1392.69
1111,AUTO,24215.45
1111,WALK,2258.63
1112,AUTO,941.52
1113,AUTO,16636.62
1113,WALK,18.45
1114,AUTO,4127.43
1115,AUTO,12504.99
1115,SCHOOL BUS,204.45
1116,AUTO,20698.18
1116,WALK,1411.38
1117,AUTO,3362.96
1117,WALK,906.6
1118,AUTO,500.91
1119,AUTO,6342.86
1120,AUTO,4507.88
1120,BIKE,3290.38
1121,AUTO,653.17
1122,AUTO,4626.05
1122,WALK,210.8
1123,AUTO,5534.56
1123,BIKE,586.56
1123,SCHOOL BUS,3482.2
1123,TRANSIT,1846.29
1124,AUTO,1048.3
1124,WALK,422.33
1125,AUTO,10339.72
1125,BIKE,102.88
1125,WALK,18710.45
1126,AUTO,5857.67
1126,BIKE,2258.85
1126,WALK,124.88
1127,AUTO,3453.81
1128,AUTO,459.26
1128,BIKE,2229.49
1129,AUTO,7536.13
1129,BIKE,1173.11
1129,WALK,86.5
1130,AUTO,1637.71
1131,AUTO,1062.64
1131,BIKE,25.58
1131,TRANSIT,38.97
1132,AUTO,3985.7
1132,WALK,2453.02
1133,AUTO,1691.03
1133,OTHER,39.53
1134,AUTO,1310.4
1135,AUTO,8378.26
1135,WALK,3826.47
1136,AUTO,2772.31
1136,OTHER,39.53
1137,AUTO,3249.95
1137,BIKE,40.93
1137,WALK,5501.75
1138,AUTO,979.97
1138,WALK,410.59
1139,AUTO,9816.08
1139,BIKE,125.15
1140,AUTO,15347.66
1141,AUTO,8782.55
1141,SCHOOL BUS,1238.38
1141,WALK,115.63
1142,AUTO,3306.46
1143,AUTO,6502.81
1143,WALK,40.93
1144,AUTO,21590.95
1144,BIKE,122.78
1144,OTHER,238.29
1144,WALK,1594.41
1145,AUTO,1300.81
1146,AUTO,33180.1
1146,WALK,12768.91
1147,AUTO,16641.9
1147,WALK,4394.57
1148,AUTO,4738.69
1149,AUTO,8729.6
1149,WALK,7892.8
1150,AUTO,1323.26
1150,BIKE,98.62
1150,WALK,411.74
1151,AUTO,622.27
1152,AUTO,19574.66
1152,WALK,413.53
1153,AUTO,5219.54
1154,AUTO,4921.89
1155,AUTO,3600.94
1156,AUTO,5876.59
1156,WALK,2273.39
1157,AUTO,8540.26
1157,BIKE,213.02
1157,WALK,15089.07
1158,AUTO,9770.52
1159,AUTO,7677.94
1160,WALK,2257.4
1161,AUTO,632.91
1161,TNC,56.73
1161,WALK,172.36
1162,AUTO,4399.26
1162,BIKE,98.62
1162,TRANSIT,55.72
1162,WALK,790.66
1163,AUTO,7035.23
1163,WALK,84.02
1164,AUTO,7290.73
1166,AUTO,1139.45
1167,AUTO,2035.49
1167,TRANSIT,106.51
1168,AUTO,20554.19
1168,TNC,140.69
1168,WALK,4796.41
1169,AUTO,13250.34
1170,AUTO,2997.72
1171,AUTO,10684.71
1172,AUTO,6888.38
1173,AUTO,9990.01
1173,WALK,1491.94
1174,AUTO,3049.89
1175,AUTO,1579.92
1175,SCHOOL BUS,246.71
1176,AUTO,4488.57
1176,TRANSIT,3290.38
1176,WALK,73.74
1177,AUTO,1342.93
1177,WALK,163.3
1178,AUTO,542.02
1179,AUTO,4584.28
1179,TAXI NOT TNC,106.51
1180,AUTO,1817.27
1181,AUTO,50.69
1182,AUTO,21641.27
1182,TRANSIT,24.4
1183,AUTO,394.82
1183,WALK,201.63
1184,AUTO,3158.96
1184,BIKE,6118.32
1184,TRANSIT,184.43
1185,AUTO,3107.34
1186,AUTO,44198.39
1186,BIKE,8657.86
1186,SCHOOL BUS,3482.2
1186,WALK,3648.26
1187,AUTO,2450.63
1188,AUTO,5259.2
1188,WALK,1757.34
1189,AUTO,19783.88
1189,BIKE,125.15
1189,TNC,812.7
1190,AUTO,17290.4
1191,AUTO,6115.78
1191,BIKE,102.03
1191,WALK,600.34
1192,AUTO,18079.89
1192,TNC,812.7
1192,WALK,902.65
1193,AUTO,6564.79
1193,BIKE,105.4
1193,WALK,152.42
1194,AUTO,2104.55
1194,TRANSIT,537.82
1194,WALK,387
1195,AUTO,2490.83
1195,BIKE,42.88
1195,WALK,1643.78
1196,AUTO,2132.82
1196,WALK,3805.11
1197,AUTO,15731.68
1197,TRANSIT,861.1
1197,WALK,3026.93
1199,AUTO,297.87
1200,AUTO,151
1201,AUTO,208.68
1203,AUTO,598.27
1203,WALK,303.01
1204,AUTO,50.69
1205,AUTO,115.48
1205,TAXI NOT TNC,181.33
1205,TNC,974.64
1206,AUTO,10641.9
1206,WALK,100.82
1207,AUTO,897.57
1208,AUTO,5519.9
1208,WALK,118.46
1209,AUTO,2928.22
1210,AUTO,1050.56
1211,AUTO,2562.76
1211,TRANSIT,38.97
1212,AUTO,4286.87
1213,AUTO,10110.69
1214,AUTO,7566.58
1214,WALK,1762.17
1215,AUTO,5080.87
1215,OTHER,312.77
1216,AUTO,4482.01
1216,TRANSIT,1380.06
1216,WALK,483.39
1217,AUTO,8424.43
1217,CAR SHARE,27
1217,TRANSIT,758.35
1217,WALK,42.19
1218,AUTO,627.55
1219,AUTO,366.93
1220,AUTO,101.67
1220,WALK,237.92
1221,AUTO,5712.01
1221,TRANSIT,732.82
1222,AUTO,106.29
1223,AUTO,3597.36
1224,AUTO,771.36
1225,AUTO,15667.16
1225,OTHER,115.85
1226,AUTO,2671.35
1226,BIKE,102.03
1227,AUTO,7031.21
1227,BIKE,106.51
1228,AUTO,18105.2
1228,BIKE,250.31
1228,TAXI NOT TNC,181.33
1228,WALK,520.82
1229,AUTO,4320.31
1230,AUTO,200.5
1231,AUTO,108.38
1231,TRANSIT,237.92
1231,WALK,237.92
1232,AUTO,8782.78
1232,TRANSIT,732.82
1232,WALK,732.82
1233,AUTO,2.91
1233,TNC,974.64
1233,TRANSIT,861.1
1233,WALK,3435.75
1234,AUTO,3125.14
1234,WALK,206.04
1235,AUTO,4815.03
1236,AUTO,1987.08
1236,WALK,2803.48
1237,AUTO,5571.59
1238,AUTO,2935.45
1239,AUTO,1553.72
1239,OTHER,210.8
1239,WALK,886.47
1240,AUTO,607
1240,BIKE,6392.54
1240,WALK,197.89
1242,AUTO,3281.68
1243,AUTO,2571.15
1244,AUTO,4968.12
1245,AUTO,18360.54
1245,WALK,197.29
1246,AUTO,3388.1
1247,AUTO,3045.49
1248,AUTO,487.31
1249,AUTO,751.29
1250,AUTO,1148.78
1250,TNC,56.73
1250,WALK,226.93
1251,AUTO,60.95
1252,AUTO,471
1252,WALK,1260.06
1253,AUTO,2245.35
1254,AUTO,4126.51
1255,AUTO,1754.1
1256,AUTO,1605.65
1256,SHUTTLE VANPOOL,116.28
1257,AUTO,285
1258,BIKE,190.22
1259,AUTO,2708.94
1259,WALK,196.55
1260,AUTO,1844.26
1260,WALK,848.6
1261,AUTO,1028.22
1261,WALK,253.24
1262,AUTO,196.97
1263,AUTO,11590.49
1263,WALK,163.56
1264,AUTO,1443.67
1265,AUTO,188.44
1265,WALK,115.48
1266,AUTO,1341.19
1267,AUTO,468.22
1267,BIKE,18.28
1267,WALK,115.48
1268,AUTO,1939.41
1268,WALK,176.28
1269,AUTO,235.15
1272,AUTO,1225.24
1272,BIKE,106.51
1272,TAXI NOT TNC,106.51
1272,TRANSIT,106.51
1273,AUTO,3007.77
1273,BIKE,207.39
1273,TRANSIT,861.1
1274,AUTO,7118.23
1274,BIKE,207.39
1274,OTHER,443.23
1274,TRANSIT,886.47
1275,AUTO,2462.33
1276,AUTO,2995.79
1277,AUTO,12169.61
1278,AUTO,530.38
1278,BIKE,371.91
1278,WALK,22.73
1279,AUTO,203.33
1280,AUTO,67.63
1281,AUTO,516.32
1282,AUTO,4293.9
1282,WALK,1838.78
1283,AUTO,8424.98
1284,AUTO,5892.45
1285,AUTO,41.08
1286,AUTO,316.22
1286,WALK,100.2
1287,AUTO,1241.06
1288,AUTO,1870.37
1289,AUTO,8374.42
1289,BIKE,1168.77
1289,TNC,414.77
1289,WALK,3031.12
1290,AUTO,19959.65
1290,TRANSIT,429.83
1290,WALK,414.77
1291,AUTO,403.65
1292,AUTO,11718.87
1292,WALK,2827.85
1293,AUTO,9329.89
1293,BIKE,273.17
1293,WALK,16115.53
1295,AUTO,3328.39
1295,WALK,425.79
1296,AUTO,5586.83
1297,AUTO,6468.28
1297,TRANSIT,520.82
1298,AUTO,5171.32
1299,AUTO,695.56
1300,AUTO,11203.03
1300,OTHER,3275.41
1300,TRANSIT,294.02
1300,WALK,116
1301,AUTO,2190.87
1301,BIKE,190.22
1301,OTHER,190.22
1301,TRANSIT,429.83
1301,WALK,541.26
1302,AUTO,7824.57
1302,BIKE,1999.1
1302,WALK,1063.27
1303,AUTO,4992.48
1303,TRANSIT,151.68
1303,WALK,204.37
1304,AUTO,10063.84
1304,SCHOOL BUS,25.77
1304,TRANSIT,98.37
1304,WALK,6016.71
1305,AUTO,57.41
1306,AUTO,1014.24
1306,BIKE,124.11
1306,WALK,198.26
1307,AUTO,5043.96
1307,WALK,216.08
1308,AUTO,2267.71
1309,AUTO,8632.19
1309,OTHER,634.18
1310,AUTO,386.37
1310,TRANSIT,520.82
1311,AUTO,18678.24
1313,AUTO,81.31
1313,WALK,121.97
1314,AUTO,15453.18
1314,BIKE,1938.28
1315,AUTO,1131.88
1315,TNC,99.54
1316,AUTO,11102.77
1318,AUTO,3919.3
1318,WALK,22.73
1319,AUTO,10998.25
1320,AUTO,367.54
1320,BIKE,124.11
1321,AUTO,235.51
1322,AUTO,799.85
1324,AUTO,4287.72
1325,AUTO,6747.46
1326,AUTO,14160.26
1327,AUTO,10717.71
1328,AUTO,7025.72
1328,BIKE,124.11
1328,TRANSIT,106.51
1328,WALK,124.11
1329,AUTO,1139.78
1331,AUTO,149.91
1332,AUTO,582.69
1333,AUTO,1980.9
1333,TRANSIT,520.82
1334,AUTO,1588.26
1335,AUTO,7397.65
1335,OTHER,952.72
1335,TRANSIT,22.98
1336,AUTO,3771.36
1336,WALK,6065.91
1337,AUTO,2943.94
1338,AUTO,3814
1339,AUTO,450.12
1340,AUTO,150.67
1340,WALK,266.86
1341,AUTO,115.49
1342,AUTO,5028.38
1343,AUTO,1059.66
1344,AUTO,18473.24
1344,OTHER,190.22
1344,TNC,1261.36
1344,TRANSIT,1046.31
1344,WALK,2821.39
1345,AUTO,447.62
1346,AUTO,1125.86
1347,AUTO,5449.67
1348,AUTO,3266.11
1348,BIKE,139.55
1348,TRANSIT,41.12
1349,AUTO,172.76
1350,AUTO,1568.88
1351,AUTO,4585.94
1352,AUTO,8597.41
1352,OTHER,784.41
1352,WALK,98.47
1353,AUTO,4671.63
1353,TRANSIT,663.94
1354,AUTO,1794.99
1354,WALK,1870.79
1355,AUTO,583.61
1356,AUTO,24283.55
1357,AUTO,16611.1
1358,AUTO,32.03
1359,AUTO,4599.45
1359,WALK,197.19
1360,TAXI NOT TNC,32.53
1360,TRANSIT,150.43
1361,AUTO,885.78
1361,BIKE,72.27
1362,AUTO,148.15
1363,AUTO,4756.23
1363,BIKE,72.27
1364,AUTO,5855.7
1364,WALK,101.87
1365,AUTO,2425.54
1365,WALK,27
1366,AUTO,2172.75
1366,TNC,139.03
1367,AUTO,1331.44
1368,AUTO,1165.67
1369,AUTO,2092.25
1369,SHUTTLE VANPOOL,137.72
1370,AUTO,1282.77
1370,LONG DIST PASS,4662
1370,WALK,39.97
1371,AUTO,2368.06
1372,AUTO,5598.82
1372,WALK,463.41
1373,AUTO,3875.6
1374,AUTO,2291.23
1375,AUTO,12033.31
1375,WALK,1858.9
1376,AUTO,3069.2
1376,TRANSIT,443.23
1376,WALK,1781.93
1377,AUTO,20795.06
1378,AUTO,5237.52
1378,BIKE,66.83
1379,AUTO,693.71
1380,AUTO,509.27
1381,AUTO,567.45
1382,AUTO,3211.62
1383,AUTO,1829.98
1384,AUTO,1710.14
1384,TRANSIT,42.63
1385,AUTO,1886.47
1386,AUTO,6253.17
1386,WALK,560.55
1387,AUTO,1639.81
1387,WALK,600.17
1388,AUTO,281.61
1389,AUTO,8785.33
1389,TRANSIT,1124.82
1389,WALK,1198.68
1390,AUTO,44.1
1391,AUTO,1225.47
1391,WALK,101.67
1392,AUTO,13427.95
1393,AUTO,388.33
1394,AUTO,2241.04
1394,WALK,98.27
1395,AUTO,11179.66
1396,AUTO,626.56
1397,AUTO,2286.32
1397,WALK,2322.46
1398,AUTO,4379.15
1399,AUTO,2150.93
1400,AUTO,4308.6
1400,SCHOOL BUS,1110.85
1401,AUTO,1427.39
1401,WALK,119.62
1402,AUTO,869.53
1402,TNC,81.66
1402,WALK,36.57
1403,AUTO,197.48
1403,WALK,358.87
1404,AUTO,285.95
1405,AUTO,4.36
1406,AUTO,7773.35
1406,BIKE,43.04
1406,WALK,101.67
1407,AUTO,2094.25
1408,AUTO,2808.35
1408,WALK,98.27
1409,AUTO,5119.42
1409,WALK,98.29
1410,AUTO,4481.34
1410,WALK,765.14
1411,AUTO,3201.31
1411,SCHOOL BUS,965.24
1411,TRANSIT,1687.23
1411,WALK,2534.81
1412,AUTO,8651.84
1412,TRANSIT,562.41
1412,WALK,1124.82
1413,AUTO,10645.8
1415,AUTO,1752.7
1416,AUTO,1019.51
1416,WALK,58.48
1417,AUTO,98.29
1417,OTHER,34.62
1418,AUTO,9953.26
1419,AUTO,19160.59
1419,BIKE,365.98
1419,WALK,182.99
1420,AUTO,2700.9
