PERSON_TYPE,PER,ORIG_PURPOSE,TIME_USE
ALL,17,SOC AND REC,2803.47407958333
ALL,17,WORK,17642.3651010416
ALL,18,COMMUTE,4599.2282050821
ALL,18,ESCORT,1751.83148083333
ALL,18,HOME,7988.36117291666
ALL,18,MEAL,1788.34931729167
ALL,18,OTHER,0
ALL,18,SCHOOL,4312.97393895833
ALL,18,SHOP,7167.60141250001
ALL,18,SOC AND REC,2808.965506875
ALL,18,WORK,17616.1036054166
ALL,19,COMMUTE,4782.97958349101
ALL,19,ESCORT,1796.96683645833
ALL,19,HOME,8668.53166562501
ALL,19,MEAL,2626.86427145833
ALL,19,OTHER,0
ALL,19,SCHOOL,4320.09497375
ALL,19,SHOP,6533.98731354167
ALL,19,SOC AND REC,2851.28809125
ALL,19,WORK,17474.35308375
ALL,20,COMMUTE,4717.76237367053
ALL,20,ESCORT,1734.66343979167
ALL,20,HOME,8505.49580166668
ALL,20,MEAL,2897.45375604167
ALL,20,OTHER,0
ALL,20,SCHOOL,4191.58394520833
ALL,20,SHOP,6463.61197895834
ALL,20,SOC AND REC,2836.99887520833
ALL,20,WORK,17267.9016404166
ALL,21,COMMUTE,4782.80809280007
ALL,21,ESCORT,1729.571163125
ALL,21,HOME,8841.29091729168
ALL,21,MEAL,2503.09498416667
ALL,21,OTHER,0
ALL,21,SCHOOL,4082.51188708333
ALL,21,SHOP,6629.38783312501
ALL,21,SOC AND REC,2897.563413125
ALL,21,WORK,17329.0897175
ALL,22,COMMUTE,4622.74232244128
ALL,22,ESCORT,1774.382141875
ALL,22,HOME,8882.47997833335
ALL,22,MEAL,1697.484116875
ALL,22,OTHER,0
ALL,22,SCHOOL,4137.99109354166
ALL,22,SHOP,6452.21895020833
ALL,22,SOC AND REC,2831.73698875
ALL,22,WORK,17535.1931379166
ALL,23,COMMUTE,4955.62640520554
ALL,23,ESCORT,1738.26693854167
ALL,23,HOME,9138.97319166669
ALL,23,MEAL,1448.34827833333
ALL,23,OTHER,0
ALL,23,SCHOOL,3855.49067583333
ALL,23,SHOP,6530.27164291668
ALL,23,SOC AND REC,2805.58577520834
ALL,23,WORK,17433.8763672916
ALL,24,COMMUTE,5048.44690724805
ALL,24,ESCORT,1753.51290208333
ALL,24,HOME,9272.75770229169
ALL,24,MEAL,1327.69955145833
ALL,24,OTHER,0
ALL,24,SCHOOL,3509.87831729166
ALL,24,SHOP,6086.82517
ALL,24,SOC AND REC,3031.81860625
ALL,24,WORK,17221.179034375
ALL,25,COMMUTE,5814.86398746107
ALL,25,ESCORT,2028.802039375
ALL,25,HOME,10344.7806472917
ALL,25,MEAL,1058.23630083333
ALL,25,OTHER,0
ALL,25,SCHOOL,3168.721650625
ALL,25,SHOP,6197.94105375001
ALL,25,SOC AND REC,2791.74720729167
ALL,25,WORK,16805.8329020833
ALL,26,COMMUTE,6159.78856154635
ALL,26,ESCORT,1951.19264583333
ALL,26,HOME,10947.049511875
ALL,26,MEAL,865.537273958333
ALL,26,OTHER,0
ALL,26,SCHOOL,2327.696824375
ALL,26,SHOP,5449.1548
ALL,26,SOC AND REC,2665.96171395834
ALL,26,WORK,16124.2955891666
ALL,27,COMMUTE,6689.53688953295
ALL,27,ESCORT,2007.66579395833
ALL,27,HOME,11524.72762
ALL,27,MEAL,984.574696041667
ALL,27,OTHER,0
ALL,27,SCHOOL,1841.462904375
ALL,27,SHOP,5274.59403708333
ALL,27,SOC AND REC,2550.037643125
ALL,27,WORK,14916.8313970833
ALL,28,COMMUTE,7118.2732209453
ALL,28,ESCORT,1858.65740458333
ALL,28,HOME,12318.1568627084
ALL,28,MEAL,1138.51545583333
ALL,28,OTHER,0
ALL,28,SCHOOL,1192.902326875
ALL,28,SHOP,4667.22906895833
ALL,28,SOC AND REC,2644.14102020834
ALL,28,WORK,13006.54067875
ALL,29,COMMUTE,8022.64589957968
ALL,29,ESCORT,1698.39787770833
ALL,29,HOME,12759.664135
ALL,29,MEAL,1638.12635
ALL,29,OTHER,0
ALL,29,SCHOOL,1064.30117520833
ALL,29,SHOP,4640.79342208333
ALL,29,SOC AND REC,3128.6265825
ALL,29,WORK,10832.9831410417
ALL,30,COMMUTE,7817.09931718323
ALL,30,ESCORT,1360.52963416667
ALL,30,HOME,13491.7786389583
ALL,30,MEAL,1954.1583225
ALL,30,OTHER,0
ALL,30,SCHOOL,838.803627083333
ALL,30,SHOP,4479.296305
ALL,30,SOC AND REC,3527.51978916667
ALL,30,WORK,7608.18348354165
ALL,31,COMMUTE,7340.62366436846
ALL,31,ESCORT,1012.98040854167
ALL,31,HOME,13844.7412979167
ALL,31,MEAL,2093.21890833333
ALL,31,OTHER,0
ALL,31,SCHOOL,683.858409166667
ALL,31,SHOP,4567.47014625001
ALL,31,SOC AND REC,4109.09771166667
ALL,31,WORK,5346.80966916667
ALL,32,COMMUTE,5302.90858605742
ALL,32,ESCORT,861.978332083333
ALL,32,HOME,12159.6069522917
ALL,32,MEAL,2084.84377479166
ALL,32,OTHER,0
ALL,32,SCHOOL,624.142167083333
ALL,32,SHOP,3867.477596875
ALL,32,SOC AND REC,4404.09113291666
ALL,32,WORK,3829.854364375
ALL,33,COMMUTE,4349.45791422954
ALL,33,ESCORT,849.252642708333
ALL,33,HOME,11066.4837397917
ALL,33,MEAL,2237.173394375
ALL,33,OTHER,0
ALL,33,SCHOOL,541.485040833334
ALL,33,SHOP,3658.69496875
ALL,33,SOC AND REC,4563.55692812499
ALL,33,WORK,3285.393079375
ALL,34,COMMUTE,3155.19397679401
ALL,34,ESCORT,575.407858125
ALL,34,HOME,10394.4911985417
ALL,34,MEAL,2037.901835625
ALL,34,OTHER,0
ALL,34,SCHOOL,499.553256875
ALL,34,SHOP,2884.86294979167
ALL,34,SOC AND REC,3871.32483770834
ALL,34,WORK,2835.75106375
ALL,35,COMMUTE,2818.59714368823
ALL,35,ESCORT,580.643743541667
