ZONE,COUNTY,MODE,TRIPS
95,Hillsborough County,AUTO,4536.21
95,Hillsborough County,WALK,327.07
96,Hillsborough County,AUTO,6912.82
96,Hillsborough County,BIKE,85.03
96,Hillsborough County,TNC,217.95
97,Hillsborough County,AUTO,7341.02
97,Hillsborough County,WALK,90.64
98,Hillsborough County,AUTO,996.31
99,Hillsborough County,AUTO,26604.18
99,Hillsborough County,SHUTTLE VANPOOL,28.67
99,Hillsborough County,TRANSIT,356.61
99,Hillsborough County,WALK,365.69
100,Hillsborough County,AUTO,285.88
101,Hillsborough County,AUTO,1946.67
101,Hillsborough County,WALK,1028.19
102,Hillsborough County,AUTO,9939.64
102,Hillsborough County,OTHER,100.56
102,Hillsborough County,SCHOOL BUS,79.05
102,Hillsborough County,WALK,441.57
103,Hillsborough County,AUTO,815.4
103,Hillsborough County,SCHOOL BUS,1891.49
103,Hillsborough County,WALK,79.09
104,Hillsborough County,AUTO,4248.22
105,Hillsborough County,AUTO,1852.48
105,Hillsborough County,BIKE,2233.5
105,Hillsborough County,WALK,1116.75
106,Hillsborough County,AUTO,31.55
107,Hillsborough County,AUTO,2196.43
107,Hillsborough County,WALK,499.69
108,Hillsborough County,AUTO,14138.99
108,Hillsborough County,WALK,497.12
109,Hillsborough County,AUTO,29904.2
109,Hillsborough County,WALK,2392.17
110,Hillsborough County,AUTO,15008.48
110,Hillsborough County,BIKE,46.62
110,Hillsborough County,OTHER,269.34
110,Hillsborough County,WALK,102.64
111,Hillsborough County,AUTO,1806.22
111,Hillsborough County,WALK,412.94
112,Hillsborough County,AUTO,5191.43
112,Hillsborough County,OTHER,154.34
112,Hillsborough County,WALK,349.34
113,Hillsborough County,AUTO,14026.28
113,Hillsborough County,WALK,397.4
114,Hillsborough County,AUTO,30646.14
114,Hillsborough County,TNC,732.43
114,Hillsborough County,WALK,609.47
115,Hillsborough County,AUTO,797.11
115,Hillsborough County,SCHOOL BUS,79.05
116,Hillsborough County,AUTO,28318.61
116,Hillsborough County,TNC,98.27
116,Hillsborough County,WALK,37.31
117,Hillsborough County,AUTO,8186.69
117,Hillsborough County,TRANSIT,98.68
117,Hillsborough County,WALK,394.86
118,Hillsborough County,AUTO,436.76
119,Hillsborough County,AUTO,587.53
120,Hillsborough County,AUTO,26460.19
120,Hillsborough County,BIKE,2328.06
120,Hillsborough County,SCHOOL BUS,3745.4
120,Hillsborough County,TRANSIT,2328.06
121,Hillsborough County,AUTO,2490.77
121,Hillsborough County,WALK,1036.43
122,Hillsborough County,AUTO,26119.86
122,Hillsborough County,BIKE,1551.63
122,Hillsborough County,SCHOOL BUS,1872.7
122,Hillsborough County,WALK,1839.89
123,Hillsborough County,AUTO,45765.62
123,Hillsborough County,OTHER,269.34
123,Hillsborough County,TRANSIT,713.23
123,Hillsborough County,WALK,234.61
124,Hillsborough County,AUTO,419.08
124,Hillsborough County,OTHER,538.67
125,Hillsborough County,AUTO,4215.53
126,Hillsborough County,AUTO,1118.31
126,Hillsborough County,TRANSIT,2142.8
127,Hillsborough County,AUTO,15039.24
127,Hillsborough County,OTHER,269.34
127,Hillsborough County,WALK,66.54
128,Hillsborough County,AUTO,10793.06
128,Hillsborough County,TRANSIT,3522.98
128,Hillsborough County,WALK,61.57
129,Hillsborough County,AUTO,24760.57
130,Hillsborough County,AUTO,1132.17
131,Hillsborough County,AUTO,347.44
131,Hillsborough County,WALK,31.92
132,Hillsborough County,AUTO,16466.75
132,Hillsborough County,WALK,3533.19
133,Hillsborough County,AUTO,16266.87
133,Hillsborough County,WALK,3494.67
134,Hillsborough County,AUTO,19549.53
134,Hillsborough County,WALK,8442.52
135,Hillsborough County,AUTO,8551.49
136,Hillsborough County,AUTO,575.84
136,Hillsborough County,WALK,280.74
137,Hillsborough County,AUTO,1689.57
137,Hillsborough County,WALK,511.69
138,Hillsborough County,AUTO,18918.2
138,Hillsborough County,WALK,2182.15
139,Hillsborough County,AUTO,1205.8
140,Hillsborough County,AUTO,17104.3
141,Hillsborough County,AUTO,17487.39
141,Hillsborough County,TNC,97.91
141,Hillsborough County,TRANSIT,98.47
142,Hillsborough County,AUTO,10634.92
142,Hillsborough County,TNC,99.31
142,Hillsborough County,WALK,571.62
143,Hillsborough County,AUTO,1057.81
143,Hillsborough County,WALK,421.01
144,Hillsborough County,AUTO,3229.46
144,Hillsborough County,WALK,696.79
145,Hillsborough County,AUTO,2836.93
145,Hillsborough County,WALK,258.57
146,Hillsborough County,AUTO,9906.06
146,Hillsborough County,WALK,601.99
147,Hillsborough County,AUTO,18654.98
147,Hillsborough County,WALK,4285.59
148,Hillsborough County,AUTO,356.15
148,Hillsborough County,TNC,149.75
148,Hillsborough County,TRANSIT,356.61
149,Hillsborough County,AUTO,7011.28
