FROM,TO,TRIPS
Grand Central Area,Clearwater Dwntwn,0
Grand Central Area,Clearwater Mall,0
Grand Central Area,Countryside Mall,0
Grand Central Area,Dwntwn USF Albert Whitted Airport,2220.26
Grand Central Area,External,0
Grand Central Area,Gateway Area,0
Grand Central Area,Grand Central Area,6764.35
Grand Central Area,Hernando  Citrus,0
Grand Central Area,Hillsborough,0
Grand Central Area,Manatee Spur,0
Grand Central Area,Mid-Cnty Ind Area,0
Grand Central Area,Oldsmar Ind Area,0
Grand Central Area,Pasco,0
Grand Central Area,Pinellas Beaches,39.75
Grand Central Area,Pinellas Central,0
Grand Central Area,Pinellas North,0
Grand Central Area,Pinellas North Central,0
Grand Central Area,Pinellas South,8704.64
Grand Central Area,St Petersburg Clearwater Area,0
Grand Central Area,Tarpon Springs Area,0
Grand Central Area,Tyrone Square Area,0
Hernando  Citrus,Clearwater Dwntwn,0
Hernando  Citrus,Clearwater Mall,0
Hernando  Citrus,Countryside Mall,0
Hernando  Citrus,Dwntwn USF Albert Whitted Airport,0
Hernando  Citrus,External,0
Hernando  Citrus,Gateway Area,0
Hernando  Citrus,Grand Central Area,0
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,Hillsborough,0
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,Mid-Cnty Ind Area,40.25
Hernando  Citrus,Oldsmar Ind Area,0
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas Beaches,0
Hernando  Citrus,Pinellas Central,674.36
Hernando  Citrus,Pinellas North,66.19
Hernando  Citrus,Pinellas North Central,1194.08
Hernando  Citrus,Pinellas South,1275.98
Hernando  Citrus,St Petersburg Clearwater Area,0
Hernando  Citrus,Tarpon Springs Area,0
Hernando  Citrus,Tyrone Square Area,0
Hillsborough,Clearwater Dwntwn,727.85
Hillsborough,Clearwater Mall,579.89
Hillsborough,Countryside Mall,0
Hillsborough,Dwntwn USF Albert Whitted Airport,10976.79
Hillsborough,External,0
Hillsborough,Gateway Area,10749.21
Hillsborough,Grand Central Area,888.64
Hillsborough,Hernando  Citrus,0
Hillsborough,Hillsborough,0
Hillsborough,Manatee Spur,0
Hillsborough,Mid-Cnty Ind Area,7046.23
Hillsborough,Oldsmar Ind Area,27094.36
Hillsborough,Pasco,0
Hillsborough,Pinellas Beaches,11443.21
Hillsborough,Pinellas Central,31635.94
Hillsborough,Pinellas North,22485.14
Hillsborough,Pinellas North Central,63081.2
Hillsborough,Pinellas South,35925.75
Hillsborough,St Petersburg Clearwater Area,191.29
Hillsborough,Tarpon Springs Area,0
