FROM,TO,TRIPS
East Town,TPA  Anderson Rd,0
East Town,Tampa Central,5369.68
East Town,USF  Hosp  Busch,506.92
East Town,West Brandon,3083.8
East Town,Westshore  Rocky Point,1956.39
External,Apollo Beach  Ruskin,879.83
External,CZ2,145.31
External,CZ4,7830.91
External,Citrus Park,0
External,Downtown,6110.06
External,East Town,110.55
External,External,0
External,Gibsonton,6297.59
External,Harney Canal,0
External,Hernando  Citrus,0
External,MacDill AFB,0
External,Manatee Spur,0
External,NE Hilsborough,4282.41
External,NW Hilsborough,554
External,New Tampa,0
External,Pasco,0
External,Pinellas,0
External,Plant City Area,3166.31
External,Port of Tampa  50th St Corridor,3854.26
External,SE Hillsborough,4700.54
External,SW Hillsborough,639.73
External,TPA  Anderson Rd,6231.64
External,Tampa Central,13026.5
External,USF  Hosp  Busch,148.16
External,West Brandon,617.07
External,Westshore  Rocky Point,656.46
Gibsonton,Apollo Beach  Ruskin,1007.87
Gibsonton,CZ2,6296.46
Gibsonton,CZ4,25979.22
Gibsonton,Citrus Park,0
Gibsonton,Downtown,3546.48
Gibsonton,East Town,730.29
Gibsonton,External,8006.6
Gibsonton,Gibsonton,63734.21
Gibsonton,Harney Canal,0
Gibsonton,Hernando  Citrus,0
Gibsonton,MacDill AFB,1.18
Gibsonton,Manatee Spur,229.72
Gibsonton,NE Hilsborough,22593.59
Gibsonton,NW Hilsborough,4093.92
Gibsonton,New Tampa,0
Gibsonton,Pasco,269.57
Gibsonton,Pinellas,1136.38
Gibsonton,Plant City Area,0
Gibsonton,Port of Tampa  50th St Corridor,1099.64
Gibsonton,SE Hillsborough,23228.91
Gibsonton,SW Hillsborough,1387.86
Gibsonton,TPA  Anderson Rd,1776.46
Gibsonton,Tampa Central,4374.32
Gibsonton,USF  Hosp  Busch,152.17
Gibsonton,West Brandon,9230.7
Gibsonton,Westshore  Rocky Point,60.34
Harney Canal,Apollo Beach  Ruskin,0
Harney Canal,CZ2,47.16
Harney Canal,CZ4,98.57
Harney Canal,Citrus Park,0
Harney Canal,Downtown,696.51
Harney Canal,East Town,26.34
Harney Canal,External,4163.33
Harney Canal,Gibsonton,2.9
Harney Canal,Harney Canal,4977.57
Harney Canal,Hernando  Citrus,0
Harney Canal,MacDill AFB,0
Harney Canal,Manatee Spur,0
Harney Canal,NE Hilsborough,3412.62
Harney Canal,NW Hilsborough,1611.95
Harney Canal,New Tampa,540.77
Harney Canal,Pasco,1183.27
Harney Canal,Pinellas,794.35
Harney Canal,Plant City Area,0
Harney Canal,Port of Tampa  50th St Corridor,0
Harney Canal,SE Hillsborough,345.52
Harney Canal,SW Hillsborough,110.14
Harney Canal,TPA  Anderson Rd,0
Harney Canal,Tampa Central,6947.31
Harney Canal,USF  Hosp  Busch,12.67
Harney Canal,West Brandon,804.64
Harney Canal,Westshore  Rocky Point,509.9
Hernando  Citrus,Apollo Beach  Ruskin,0
Hernando  Citrus,CZ2,0
Hernando  Citrus,CZ4,0
Hernando  Citrus,Citrus Park,79.13
Hernando  Citrus,Downtown,150.05
Hernando  Citrus,East Town,0
Hernando  Citrus,External,0
Hernando  Citrus,Gibsonton,0
Hernando  Citrus,Harney Canal,0
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,MacDill AFB,84.91
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,NE Hilsborough,0
Hernando  Citrus,NW Hilsborough,7048.87
Hernando  Citrus,New Tampa,0
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas,0
Hernando  Citrus,Plant City Area,0
Hernando  Citrus,Port of Tampa  50th St Corridor,0
Hernando  Citrus,SE Hillsborough,149.86
Hernando  Citrus,SW Hillsborough,33.67
Hernando  Citrus,TPA  Anderson Rd,2574.8
Hernando  Citrus,Tampa Central,379.35
Hernando  Citrus,USF  Hosp  Busch,4178.02
Hernando  Citrus,West Brandon,33.24
Hernando  Citrus,Westshore  Rocky Point,139.17
MacDill AFB,Apollo Beach  Ruskin,98.72
MacDill AFB,CZ2,2420.4
MacDill AFB,CZ4,0
MacDill AFB,Citrus Park,0
MacDill AFB,Downtown,1999.11
MacDill AFB,East Town,0
MacDill AFB,External,0
MacDill AFB,Gibsonton,1.18
MacDill AFB,Harney Canal,151.26
MacDill AFB,Hernando  Citrus,60.08
MacDill AFB,MacDill AFB,12488.26
MacDill AFB,Manatee Spur,0
MacDill AFB,NE Hilsborough,1203.8
MacDill AFB,NW Hilsborough,4963.8
MacDill AFB,New Tampa,0
MacDill AFB,Pasco,2408.19
MacDill AFB,Pinellas,370.2
MacDill AFB,Plant City Area,0
MacDill AFB,Port of Tampa  50th St Corridor,0
MacDill AFB,SE Hillsborough,7301.73
MacDill AFB,SW Hillsborough,15014.56
MacDill AFB,TPA  Anderson Rd,32.61
MacDill AFB,Tampa Central,279.8
MacDill AFB,USF  Hosp  Busch,0
MacDill AFB,West Brandon,0
MacDill AFB,Westshore  Rocky Point,268.46
Manatee Spur,Apollo Beach  Ruskin,175.16
Manatee Spur,CZ2,0
Manatee Spur,CZ4,0
Manatee Spur,Citrus Park,0
Manatee Spur,Downtown,0
Manatee Spur,East Town,0
Manatee Spur,External,0
Manatee Spur,Gibsonton,229.72
Manatee Spur,Harney Canal,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,MacDill AFB,0
Manatee Spur,Manatee Spur,0
Manatee Spur,NE Hilsborough,0
Manatee Spur,NW Hilsborough,0
Manatee Spur,New Tampa,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas,0
Manatee Spur,Plant City Area,0
Manatee Spur,Port of Tampa  50th St Corridor,153.15
Manatee Spur,SE Hillsborough,0
Manatee Spur,SW Hillsborough,0
Manatee Spur,TPA  Anderson Rd,0
Manatee Spur,Tampa Central,0
Manatee Spur,USF  Hosp  Busch,0
Manatee Spur,West Brandon,115.86
Manatee Spur,Westshore  Rocky Point,0
NE Hilsborough,Apollo Beach  Ruskin,116.02
NE Hilsborough,CZ2,267.58
NE Hilsborough,CZ4,4470.03
NE Hilsborough,Citrus Park,0
NE Hilsborough,Downtown,10988.44
NE Hilsborough,East Town,6780.31
NE Hilsborough,External,5284.57
NE Hilsborough,Gibsonton,11225.59
NE Hilsborough,Harney Canal,4211.59
NE Hilsborough,Hernando  Citrus,0
NE Hilsborough,MacDill AFB,3077.14
NE Hilsborough,Manatee Spur,139.35
NE Hilsborough,NE Hilsborough,261601.98
NE Hilsborough,NW Hilsborough,14663.86
NE Hilsborough,New Tampa,1234.35
NE Hilsborough,Pasco,16627.86
NE Hilsborough,Pinellas,4973.01
NE Hilsborough,Plant City Area,24612.56
NE Hilsborough,Port of Tampa  50th St Corridor,0
NE Hilsborough,SE Hillsborough,43450.19
NE Hilsborough,SW Hillsborough,346.03
NE Hilsborough,TPA  Anderson Rd,2423.28
NE Hilsborough,Tampa Central,42468.55
NE Hilsborough,USF  Hosp  Busch,20474.78
NE Hilsborough,West Brandon,15349.23
NE Hilsborough,Westshore  Rocky Point,2055.44
NW Hilsborough,Apollo Beach  Ruskin,0
NW Hilsborough,CZ2,712.93
NW Hilsborough,CZ4,907.33
NW Hilsborough,Citrus Park,13288.04
NW Hilsborough,Downtown,12761.09
NW Hilsborough,East Town,4391.69
NW Hilsborough,External,656.76
NW Hilsborough,Gibsonton,2428.73
NW Hilsborough,Harney Canal,1533.19
NW Hilsborough,Hernando  Citrus,5958.24
NW Hilsborough,MacDill AFB,4963.8
NW Hilsborough,Manatee Spur,0
NW Hilsborough,NE Hilsborough,12459.44
NW Hilsborough,NW Hilsborough,868324.71
NW Hilsborough,New Tampa,2143.27
NW Hilsborough,Pasco,69465.33
NW Hilsborough,Pinellas,79361.34
NW Hilsborough,Plant City Area,0
NW Hilsborough,Port of Tampa  50th St Corridor,0
NW Hilsborough,SE Hillsborough,1227.51
NW Hilsborough,SW Hillsborough,26340.72
NW Hilsborough,TPA  Anderson Rd,60794.89
NW Hilsborough,Tampa Central,134118.79
NW Hilsborough,USF  Hosp  Busch,10070.64
NW Hilsborough,West Brandon,903.21
NW Hilsborough,Westshore  Rocky Point,19080.94
New Tampa,Apollo Beach  Ruskin,0
New Tampa,CZ2,658.11
New Tampa,CZ4,458.85
New Tampa,Citrus Park,30.21
New Tampa,Downtown,1087.17
New Tampa,East Town,265.08
New Tampa,External,0
New Tampa,Gibsonton,0
New Tampa,Harney Canal,772.36
New Tampa,Hernando  Citrus,0
New Tampa,MacDill AFB,0
New Tampa,Manatee Spur,0
New Tampa,NE Hilsborough,978.87
New Tampa,NW Hilsborough,2103.82
New Tampa,New Tampa,8319.79
New Tampa,Pasco,2545.41
New Tampa,Pinellas,0
New Tampa,Plant City Area,0
New Tampa,Port of Tampa  50th St Corridor,0
New Tampa,SE Hillsborough,0
New Tampa,SW Hillsborough,126.64
New Tampa,TPA  Anderson Rd,0
New Tampa,Tampa Central,8552.92
New Tampa,USF  Hosp  Busch,445.36
New Tampa,West Brandon,180.5
New Tampa,Westshore  Rocky Point,1899.74
Pasco,Apollo Beach  Ruskin,0
Pasco,CZ2,70.9
Pasco,CZ4,0
Pasco,Citrus Park,279.44
Pasco,Downtown,15433.98
Pasco,East Town,1448.17
Pasco,External,0
Pasco,Gibsonton,149.22
Pasco,Harney Canal,159.61
Pasco,Hernando  Citrus,0
Pasco,MacDill AFB,2434.86
Pasco,Manatee Spur,0
Pasco,NE Hilsborough,21410.01
Pasco,NW Hilsborough,62347.4
Pasco,New Tampa,6198.65
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Plant City Area,3423.46
Pasco,Port of Tampa  50th St Corridor,3066.68
Pasco,SE Hillsborough,6007.09
Pasco,SW Hillsborough,4855.24
Pasco,TPA  Anderson Rd,9021.79
Pasco,Tampa Central,28891.13
Pasco,USF  Hosp  Busch,9121.89
Pasco,West Brandon,2266.94
Pasco,Westshore  Rocky Point,9032.42
Pinellas,Apollo Beach  Ruskin,3563.94
Pinellas,CZ2,99.93
Pinellas,CZ4,1703.76
Pinellas,Citrus Park,3719.61
Pinellas,Downtown,12140.19
Pinellas,East Town,865.92
Pinellas,External,0
Pinellas,Gibsonton,1030.2
Pinellas,Harney Canal,1324.25
Pinellas,Hernando  Citrus,0
Pinellas,MacDill AFB,575.53
Pinellas,Manatee Spur,0
Pinellas,NE Hilsborough,4828.29
Pinellas,NW Hilsborough,68992.77
Pinellas,New Tampa,811.9
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Plant City Area,0
Pinellas,Port of Tampa  50th St Corridor,18416.39
Pinellas,SE Hillsborough,1170.13
Pinellas,SW Hillsborough,15437.57
Pinellas,TPA  Anderson Rd,31239.4
Pinellas,Tampa Central,23219.97
Pinellas,USF  Hosp  Busch,20810.83
Pinellas,West Brandon,1302.83
Pinellas,Westshore  Rocky Point,13428.49
Plant City Area,Apollo Beach  Ruskin,0
Plant City Area,CZ2,0
Plant City Area,CZ4,0
Plant City Area,Citrus Park,0
Plant City Area,Downtown,149.75
Plant City Area,East Town,0
Plant City Area,External,3961.47
Plant City Area,Gibsonton,0
Plant City Area,Harney Canal,0
Plant City Area,Hernando  Citrus,0
Plant City Area,MacDill AFB,0
Plant City Area,Manatee Spur,0
Plant City Area,NE Hilsborough,28045.67
Plant City Area,NW Hilsborough,0
Plant City Area,New Tampa,0
Plant City Area,Pasco,2422.22
Plant City Area,Pinellas,0
Plant City Area,Plant City Area,819.52
Plant City Area,Port of Tampa  50th St Corridor,0
Plant City Area,SE Hillsborough,483.42
Plant City Area,SW Hillsborough,0
Plant City Area,TPA  Anderson Rd,6.09
Plant City Area,Tampa Central,4468.51
Plant City Area,USF  Hosp  Busch,0
Plant City Area,West Brandon,0
Plant City Area,Westshore  Rocky Point,0
Port of Tampa  50th St Corridor,Apollo Beach  Ruskin,0
Port of Tampa  50th St Corridor,CZ2,0
Port of Tampa  50th St Corridor,CZ4,0
Port of Tampa  50th St Corridor,Citrus Park,0
Port of Tampa  50th St Corridor,Downtown,355.52
Port of Tampa  50th St Corridor,East Town,132.88
Port of Tampa  50th St Corridor,External,0
Port of Tampa  50th St Corridor,Gibsonton,122.1
Port of Tampa  50th St Corridor,Harney Canal,0
Port of Tampa  50th St Corridor,Hernando  Citrus,0
Port of Tampa  50th St Corridor,MacDill AFB,0
Port of Tampa  50th St Corridor,Manatee Spur,153.15
Port of Tampa  50th St Corridor,NE Hilsborough,0
Port of Tampa  50th St Corridor,NW Hilsborough,0
Port of Tampa  50th St Corridor,New Tampa,0
Port of Tampa  50th St Corridor,Pasco,2039.61
Port of Tampa  50th St Corridor,Pinellas,116.95
Port of Tampa  50th St Corridor,Plant City Area,0
Port of Tampa  50th St Corridor,Port of Tampa  50th St Corridor,47.11
Port of Tampa  50th St Corridor,SE Hillsborough,3854.26
Port of Tampa  50th St Corridor,SW Hillsborough,0
Port of Tampa  50th St Corridor,TPA  Anderson Rd,18240.42
Port of Tampa  50th St Corridor,Tampa Central,524.7
Port of Tampa  50th St Corridor,USF  Hosp  Busch,0
Port of Tampa  50th St Corridor,West Brandon,2217.61
Port of Tampa  50th St Corridor,Westshore  Rocky Point,3114.27
SE Hillsborough,Apollo Beach  Ruskin,38596.03
SE Hillsborough,CZ2,21274.8
SE Hillsborough,CZ4,13552.16
SE Hillsborough,Citrus Park,138.89
SE Hillsborough,Downtown,20929.77
SE Hillsborough,East Town,20648.05
SE Hillsborough,External,2292.49
SE Hillsborough,Gibsonton,28556.35
SE Hillsborough,Harney Canal,4706.98
SE Hillsborough,Hernando  Citrus,131.59
SE Hillsborough,MacDill AFB,7555.26
SE Hillsborough,Manatee Spur,0
SE Hillsborough,NE Hilsborough,35637.83
SE Hillsborough,NW Hilsborough,1173.26
SE Hillsborough,New Tampa,141.17
SE Hillsborough,Pasco,2060.32
SE Hillsborough,Pinellas,958.42
SE Hillsborough,Plant City Area,2839.64
SE Hillsborough,Port of Tampa  50th St Corridor,0
SE Hillsborough,SE Hillsborough,415153
SE Hillsborough,SW Hillsborough,7655.74
SE Hillsborough,TPA  Anderson Rd,12519.98
SE Hillsborough,Tampa Central,25496.92
SE Hillsborough,USF  Hosp  Busch,9174.25
SE Hillsborough,West Brandon,59646.11
SE Hillsborough,Westshore  Rocky Point,1667.1
SW Hillsborough,Apollo Beach  Ruskin,0
SW Hillsborough,CZ2,111.59
SW Hillsborough,CZ4,326.61
SW Hillsborough,Citrus Park,0
SW Hillsborough,Downtown,40733.7
SW Hillsborough,East Town,2115.7
SW Hillsborough,External,5298.01
SW Hillsborough,Gibsonton,1373.35
SW Hillsborough,Harney Canal,1.73
SW Hillsborough,Hernando  Citrus,23.82
SW Hillsborough,MacDill AFB,20020.84
SW Hillsborough,Manatee Spur,0
SW Hillsborough,NE Hilsborough,1113.75
SW Hillsborough,NW Hilsborough,23600.73
SW Hillsborough,New Tampa,194.65
SW Hillsborough,Pasco,1319.32
SW Hillsborough,Pinellas,17067.31
SW Hillsborough,Plant City Area,0
SW Hillsborough,Port of Tampa  50th St Corridor,0
SW Hillsborough,SE Hillsborough,6027.32
SW Hillsborough,SW Hillsborough,378280.58
SW Hillsborough,TPA  Anderson Rd,12363.83
SW Hillsborough,Tampa Central,42628
SW Hillsborough,USF  Hosp  Busch,15315.46
SW Hillsborough,West Brandon,314.4
SW Hillsborough,Westshore  Rocky Point,20657.63
TPA  Anderson Rd,Apollo Beach  Ruskin,0
TPA  Anderson Rd,CZ2,87.67
TPA  Anderson Rd,CZ4,1368.1
TPA  Anderson Rd,Citrus Park,147.45
TPA  Anderson Rd,Downtown,1187.59
TPA  Anderson Rd,East Town,122.47
TPA  Anderson Rd,External,10873.74
TPA  Anderson Rd,Gibsonton,1326.47
TPA  Anderson Rd,Harney Canal,0
TPA  Anderson Rd,Hernando  Citrus,382.99
TPA  Anderson Rd,MacDill AFB,23.07
TPA  Anderson Rd,Manatee Spur,0
TPA  Anderson Rd,NE Hilsborough,1601.21
TPA  Anderson Rd,NW Hilsborough,53649.72
TPA  Anderson Rd,New Tampa,98.47
TPA  Anderson Rd,Pasco,6503
TPA  Anderson Rd,Pinellas,31972.19
TPA  Anderson Rd,Plant City Area,6.09
TPA  Anderson Rd,Port of Tampa  50th St Corridor,0
TPA  Anderson Rd,SE Hillsborough,3815.26
TPA  Anderson Rd,SW Hillsborough,14430.19
TPA  Anderson Rd,TPA  Anderson Rd,20077.97
TPA  Anderson Rd,Tampa Central,22851.11
TPA  Anderson Rd,USF  Hosp  Busch,2657.44
TPA  Anderson Rd,West Brandon,0
TPA  Anderson Rd,Westshore  Rocky Point,37813.06
Tampa Central,Apollo Beach  Ruskin,1472.96
Tampa Central,CZ2,1037.69
Tampa Central,CZ4,5496.23
Tampa Central,Citrus Park,465.02
Tampa Central,Downtown,41431.56
Tampa Central,East Town,9106.44
Tampa Central,External,8835.41
Tampa Central,Gibsonton,3027.3
Tampa Central,Harney Canal,3704.94
Tampa Central,Hernando  Citrus,447.19
Tampa Central,MacDill AFB,270.66
Tampa Central,Manatee Spur,0
Tampa Central,NE Hilsborough,37455.2
Tampa Central,NW Hilsborough,128678.83
Tampa Central,New Tampa,3618.79
Tampa Central,Pasco,25817.51
Tampa Central,Pinellas,36203.16
Tampa Central,Plant City Area,3160.05
Tampa Central,Port of Tampa  50th St Corridor,2457.68
Tampa Central,SE Hillsborough,14840.42
Tampa Central,SW Hillsborough,41783.26
Tampa Central,TPA  Anderson Rd,25763.46
Tampa Central,Tampa Central,540040.7
Tampa Central,USF  Hosp  Busch,82022.67
Tampa Central,West Brandon,15026.95
Tampa Central,Westshore  Rocky Point,20489.6
USF  Hosp  Busch,Apollo Beach  Ruskin,53.32
