ZONE,COUNTY,PERSON GROUP,QUANTITY
76,Davidson,VISITORS,27.18
77,Davidson,RESIDENTS,2121.34
77,Davidson,VISITORS,23.67
78,Davidson,RESIDENTS,1033.59
78,Davidson,VISITORS,6.84
79,Davidson,RESIDENTS,1478.72
79,Davidson,VISITORS,28.13
80,Davidson,RESIDENTS,1318.87
80,Davidson,VISITORS,11.53
81,Davidson,RESIDENTS,936.91
81,Davidson,VISITORS,4.81
82,Davidson,RESIDENTS,2508.72
82,Davidson,VISITORS,13.67
83,Davidson,RESIDENTS,1148.88
83,Davidson,VISITORS,14.27
84,Davidson,RESIDENTS,1858.03
84,Davidson,VISITORS,15.52
85,Davidson,RESIDENTS,1277.54
85,Davidson,VISITORS,4.17
86,Davidson,RESIDENTS,4553.02
86,Davidson,VISITORS,63.1
87,Davidson,RESIDENTS,2191.92
87,Davidson,VISITORS,23.26
88,Davidson,RESIDENTS,1370.47
88,Davidson,VISITORS,19.7
89,Davidson,RESIDENTS,5240.32
89,Davidson,VISITORS,92.26
90,Davidson,RESIDENTS,4403.49
90,Davidson,VISITORS,61.95
91,Davidson,RESIDENTS,653.57
91,Davidson,VISITORS,1.33
92,Davidson,RESIDENTS,2266.11
92,Davidson,VISITORS,12.69
93,Davidson,RESIDENTS,3868.77
93,Davidson,VISITORS,10.89
94,Davidson,RESIDENTS,1354.35
94,Davidson,VISITORS,8.83
95,Davidson,RESIDENTS,8792.6
95,Davidson,VISITORS,61.04
96,Davidson,RESIDENTS,970.25
96,Davidson,VISITORS,49.44
97,Davidson,RESIDENTS,2330.02
97,Davidson,VISITORS,40.39
98,Davidson,RESIDENTS,1482.64
98,Davidson,VISITORS,31.1
99,Davidson,RESIDENTS,6876.07
99,Davidson,VISITORS,45.23
100,Davidson,RESIDENTS,738.75
100,Davidson,VISITORS,7.56
101,Davidson,RESIDENTS,924.52
101,Davidson,VISITORS,8.55
102,Davidson,RESIDENTS,7085.81
102,Davidson,VISITORS,115.23
103,Davidson,RESIDENTS,1580.79
103,Davidson,VISITORS,46.97
104,Davidson,RESIDENTS,2090.32
104,Davidson,VISITORS,17.43
105,Davidson,RESIDENTS,1208.52
105,Davidson,VISITORS,17.92
106,Davidson,RESIDENTS,2071.7
106,Davidson,VISITORS,28.64
107,Davidson,RESIDENTS,3093
107,Davidson,VISITORS,32.34
108,Davidson,RESIDENTS,1363.03
108,Davidson,VISITORS,9.32
109,Davidson,RESIDENTS,5726.98
109,Davidson,VISITORS,48.04
110,Davidson,RESIDENTS,2973.56
110,Davidson,VISITORS,18.08
111,Davidson,RESIDENTS,3004.13
111,Davidson,VISITORS,16.64
112,Davidson,RESIDENTS,1345.38
112,Davidson,VISITORS,3.98
113,Davidson,RESIDENTS,1085.77
113,Davidson,VISITORS,10.92
114,Davidson,RESIDENTS,3178.3
114,Davidson,VISITORS,93.4
115,Davidson,RESIDENTS,2226.64
115,Davidson,VISITORS,20.18
116,Davidson,RESIDENTS,2060.32
116,Davidson,VISITORS,40.84
117,Davidson,RESIDENTS,1526.48
117,Davidson,VISITORS,18.07
118,Davidson,RESIDENTS,6985.82
118,Davidson,VISITORS,51.68
119,Davidson,RESIDENTS,1063.51
119,Davidson,VISITORS,5.44
120,Davidson,RESIDENTS,1018.65
120,Davidson,VISITORS,30.39
121,Davidson,RESIDENTS,1411.46
121,Davidson,VISITORS,20.25
122,Davidson,RESIDENTS,2481.77
122,Davidson,VISITORS,42.28
123,Davidson,RESIDENTS,2484.6
123,Davidson,VISITORS,13.55
124,Davidson,RESIDENTS,1458.59
124,Davidson,VISITORS,18.55
125,Davidson,RESIDENTS,3514.73
125,Davidson,VISITORS,87.95
126,Davidson,RESIDENTS,775.57
126,Davidson,VISITORS,15.62
127,Davidson,RESIDENTS,423.77
127,Davidson,VISITORS,7.84
128,Davidson,RESIDENTS,958.67
128,Davidson,VISITORS,18.83
129,Davidson,RESIDENTS,666.73
129,Davidson,VISITORS,9.29
130,Davidson,RESIDENTS,656.53
130,Davidson,VISITORS,12.36
131,Davidson,RESIDENTS,483.37
131,Davidson,VISITORS,6.3
132,Davidson,RESIDENTS,1502.64
132,Davidson,VISITORS,38.03
133,Davidson,RESIDENTS,1407.05
133,Davidson,VISITORS,44.42
134,Davidson,RESIDENTS,428.35
134,Davidson,VISITORS,3.02
135,Davidson,RESIDENTS,5282.43
135,Davidson,VISITORS,454
136,Davidson,RESIDENTS,1223.54
136,Davidson,VISITORS,95.89
137,Davidson,RESIDENTS,1002.77
137,Davidson,VISITORS,74.25
138,Davidson,RESIDENTS,2129.35
138,Davidson,VISITORS,253.02
139,Davidson,RESIDENTS,3384.39
139,Davidson,VISITORS,211.9
140,Davidson,RESIDENTS,1665.68
140,Davidson,VISITORS,95.91
141,Davidson,RESIDENTS,1491.71
141,Davidson,VISITORS,39.42
142,Davidson,RESIDENTS,1916.87
142,Davidson,VISITORS,81.65
143,Davidson,RESIDENTS,761.71
143,Davidson,VISITORS,21.86
144,Davidson,RESIDENTS,1469.12
144,Davidson,VISITORS,18.48
145,Davidson,RESIDENTS,668.94
145,Davidson,VISITORS,16.77
146,Davidson,RESIDENTS,228.45
146,Davidson,VISITORS,19.79
147,Davidson,RESIDENTS,1616.39
147,Davidson,VISITORS,23.35
148,Davidson,RESIDENTS,220.59
148,Davidson,VISITORS,2.38
149,Davidson,RESIDENTS,1523.56
149,Davidson,VISITORS,4.55
150,Davidson,RESIDENTS,2958.72
150,Davidson,VISITORS,64.06
151,Davidson,RESIDENTS,609.87
151,Davidson,VISITORS,4.93
152,Davidson,RESIDENTS,1276.4
152,Davidson,VISITORS,125.36
153,Davidson,RESIDENTS,3232.04
153,Davidson,VISITORS,199.75
154,Davidson,RESIDENTS,701.99
154,Davidson,VISITORS,27.01
155,Davidson,RESIDENTS,4378.29
155,Davidson,VISITORS,148.74
156,Davidson,RESIDENTS,1826.51
156,Davidson,VISITORS,79.15
157,Davidson,RESIDENTS,1351.78
157,Davidson,VISITORS,34.56
158,Davidson,RESIDENTS,2310.59
158,Davidson,VISITORS,224.71
159,Davidson,RESIDENTS,2223.59
159,Davidson,VISITORS,36.49
160,Davidson,RESIDENTS,3590.52
160,Davidson,VISITORS,74.59
161,Davidson,RESIDENTS,5697.93
161,Davidson,VISITORS,163.12
162,Davidson,RESIDENTS,1337.03
162,Davidson,VISITORS,18.01
163,Davidson,RESIDENTS,4397.37
163,Davidson,VISITORS,170.27
164,Davidson,RESIDENTS,1208.54
164,Davidson,VISITORS,273.57
165,Davidson,RESIDENTS,2005.31
165,Davidson,VISITORS,106.18
166,Davidson,RESIDENTS,5357.61
166,Davidson,VISITORS,255.22
167,Davidson,RESIDENTS,980.59
167,Davidson,VISITORS,36.08
168,Davidson,RESIDENTS,625.44
168,Davidson,VISITORS,17.86
169,Davidson,RESIDENTS,2057.11
169,Davidson,VISITORS,318.26
170,Davidson,RESIDENTS,5473.38
170,Davidson,VISITORS,720.12
171,Davidson,RESIDENTS,3492.07
171,Davidson,VISITORS,225.84
172,Davidson,RESIDENTS,2956.29
172,Davidson,VISITORS,125.22
173,Davidson,RESIDENTS,8175.54
173,Davidson,VISITORS,486.9
174,Davidson,RESIDENTS,1705.05
174,Davidson,VISITORS,79.64
175,Davidson,RESIDENTS,1768.79
175,Davidson,VISITORS,67.3
176,Davidson,RESIDENTS,3643.26
176,Davidson,VISITORS,139.7
177,Davidson,RESIDENTS,1929.17
177,Davidson,VISITORS,166.43
178,Davidson,RESIDENTS,1173.57
178,Davidson,VISITORS,92.65
179,Davidson,RESIDENTS,3562.55
179,Davidson,VISITORS,147
180,Davidson,RESIDENTS,3749.36
180,Davidson,VISITORS,169.16
181,Davidson,RESIDENTS,2793.74
181,Davidson,VISITORS,158.31
182,Davidson,RESIDENTS,778.58
182,Davidson,VISITORS,25.89
183,Davidson,RESIDENTS,1609.25
183,Davidson,VISITORS,98.38
184,Davidson,RESIDENTS,130.36
184,Davidson,VISITORS,18.19
185,Davidson,RESIDENTS,4449.33
185,Davidson,VISITORS,246.76
186,Davidson,RESIDENTS,526.75
186,Davidson,VISITORS,16.29
187,Davidson,RESIDENTS,498.26
187,Davidson,VISITORS,15.84
188,Davidson,RESIDENTS,2569.74
188,Davidson,VISITORS,338.62
189,Davidson,RESIDENTS,4594.65
189,Davidson,VISITORS,275.46
190,Davidson,RESIDENTS,1603.88
190,Davidson,VISITORS,118.39
191,Davidson,RESIDENTS,3351.92
191,Davidson,VISITORS,127.38
192,Davidson,RESIDENTS,1888.63
192,Davidson,VISITORS,83.54
193,Davidson,RESIDENTS,1238.14
193,Davidson,VISITORS,66.56
194,Davidson,RESIDENTS,1635.48
194,Davidson,VISITORS,108.49
195,Davidson,RESIDENTS,1013.24
195,Davidson,VISITORS,54.38
196,Davidson,RESIDENTS,3998.63
196,Davidson,VISITORS,282.17
197,Davidson,RESIDENTS,3572.34
197,Davidson,VISITORS,243.1
198,Davidson,RESIDENTS,3275.46
198,Davidson,VISITORS,229.05
199,Davidson,RESIDENTS,3320.2
199,Davidson,VISITORS,195.2
200,Davidson,RESIDENTS,3152.27
200,Davidson,VISITORS,220.47
201,Davidson,RESIDENTS,1066.97
201,Davidson,VISITORS,17.36
202,Davidson,RESIDENTS,1271.86
202,Davidson,VISITORS,83.64
203,Davidson,RESIDENTS,2898.58
203,Davidson,VISITORS,138.53
204,Davidson,RESIDENTS,2428.78
204,Davidson,VISITORS,111.3
205,Davidson,RESIDENTS,1127.06
205,Davidson,VISITORS,31.44
206,Davidson,RESIDENTS,2105.19
206,Davidson,VISITORS,142.6
207,Davidson,RESIDENTS,2406.39
